id,parentId,name,size,realsize,percent
c12_4_1_2,c12_4_1,Contents insurance,2.1,2.1,null
c12_4_1_3,c12_4_1,Insurance for household appliances,0.1,0.1,null
c12_4_2,c12_4,Medical insurance premiums,2,2,null
c12_4_3,c12_4,Vehicle insurance including boat insurance,10.8,10.8,null
c12_4_3_1,c12_4_3,Vehicle insurance,10.8,10.8,null
c12_4_3_2,c12_4_3,Boat insurance (not home),0,0,null
c12_4_4,c12_4,"Non-package holiday, other travel insurance",0.3,0.3,null
c12_5,c12,Other services,5.1,5.1,null
c12_5_1,c12_5,Moving house,3.1,3.1,null
c12_5_1_1,c12_5_1,Moving and storage of furniture,0.5,0.5,null
c12_5_1_2,c12_5_1,Property transaction - purchase and sale,1.2,1.2,null
c12_5_1_3,c12_5_1,Property transaction - sale only,0.5,0.5,null
c12_5_1_4,c12_5_1,Property transaction - purchase only,0.5,0.5,null
c12_5_1_5,c12_5_1,Property transaction - other payments,0.5,0.5,null
c12_5_2,c12_5,"Bank, building society, post office, credit card charges",0.5,0.5,null
c12_5_2_1,c12_5_2,Bank and building society charges,0.5,0.5,null
c12_5_2_2,c12_5_2,Bank and Post Office counter charges,0,0,null
c12_5_2_3,c12_5_2,Annual standing charge for credit cards,0.1,0.1,null
c12_5_2_4,c12_5_2,Commission travellers' cheques and currency,0,0,null
c12_5_3,c12_5,Other services and professional fees,1.4,1.4,null
c12_5_3_1,c12_5_3,Other professional fees including court fines,0.1,0.1,null
c12_5_3_2,c12_5_3,Legal fees,0.3,0.3,null
c12_5_3_3,c12_5_3,Funeral expenses,0.2,0.2,null
c12_5_3_4,c12_5_3,TU and professional organisations,0.6,0.6,null
c12_5_3_5,c12_5_3,Other payments for services eg photocopying,0.1,0.1,null
c13,c0,Other expenditure items,76.4,76.4,13.3
c13_1,c13,"Housing: mortgage interest payments, council tax etc",46.6,46.6,null
c13_1_1,c13_1,Mortgage interest payments,20.9,20.9,null
c13_1_2,c13_1,Mortgage protection premiums,1,1,null
c13_1_3,c13_1,"Council tax, domestic rates",23.6,23.6,null
c13_1_4,c13_1,"Council tax, mortgage (second dwelling)",1.2,1.2,null
c13_2,c13,"Licences, fines and transfers",3.7,3.7,null
c13_2_1,c13_2,"Stamp duty, licences and fines (excluding motoring fines)",0.3,0.3,null
c13_2_2,c13_2,Motoring fines,0.1,0.1,null
c13_2_3,c13_2,Motor vehicle road taxation payments less refunds,3.3,3.3,null
c13_3,c13,Holiday spending,12.4,12.4,null
c13_3_1,c13_3,Money spent abroad,12.4,12.4,null
c13_3_2,c13_3,Duty free goods bought in UK,0,0,null
c13_4,c13,Money transfers and credit,13.7,13.7,null
c13_4_1,c13_4,"Money, cash gifts given to children",0.1,0.1,null
c13_4_1_1,c13_4_1,Money given to children for specific purposes,0.1,0.1,null
c13_4_1_2,c13_4_1,Cash gifts to children (no specific purpose),0,0,null
c13_4_2,c13_4,Cash gifts and donations,12.6,12.6,null
c13_4_2_1,c13_4_2,Money/presents given to those outside the household,6.2,6.2,null
c13_4_2_2,c13_4_2,Charitable donations and subscriptions,3,3,null
c13_4_2_3,c13_4_2,Money sent abroad,1.5,1.5,null
c13_4_2_4,c13_4_2,Maintenance allowance expenditure,2,2,null
c13_4_3,c13_4,Club instalment payments (child) and interest on credit cards,1,1,null
c13_4_3_1,c13_4_3,Club instalment payment,0,0,null
c13_4_3_2,c13_4_3,Interest on credit cards,1,1,null
