name,group,Region,quadrant,jobdensity,imd
Featherstone (Wakefield) BUA,Small,Yorkshire and The Humber,Most Deprived Mixed,0.599,0.11
Witney BUA,Medium,South East,Least Deprived Working,0.802,0.78
Liskeard BUA,Small,South West,Most Deprived Working,0.748,0.1
Faversham BUA,Small,South East,Most Deprived Mixed,0.568,0.29
Market Harborough BUA,Medium,East Midlands,Least Deprived Working,0.752,0.81
Swanage BUA,Small,South West,Least Deprived Mixed,0.611,0.62
Evesham BUA,Medium,West Midlands,Mid Deprived Mixed,0.652,0.5
Canvey Island BUA,Medium,East of England,Most Deprived Residential,0.314,0.19
Great Malvern BUA,Medium,West Midlands,Most Deprived Working,0.752,0.38
Cambourne BUA,Small,East of England,Least Deprived Residential,0.512,0.69
Salisbury BUA,Medium,South West,Least Deprived Working,1.006,0.61
Lowestoft BUA,Medium,East of England,Most Deprived Mixed,0.569,0.14
Crewkerne BUA,Small,South West,Mid Deprived Working,0.776,0.52
Ilkley BUA,Small,Yorkshire and The Humber,Least Deprived Working,0.805,0.96
Skegness BUA,Medium,East Midlands,Most Deprived Working,0.890,0.02
Malmesbury BUA,Small,South West,Least Deprived Working,1.572,0.85
Danbury BUA,Small,East of England,Least Deprived Residential,0.425,0.88
Hereford BUA,Medium,West Midlands,Mid Deprived Working,0.878,0.41
Formby BUA,Medium,North West,Least Deprived Residential,0.510,0.86
Sandbach BUA,Small,North West,Least Deprived Mixed,0.604,0.78
Edwinstowe BUA,Small,East Midlands,Least Deprived Residential,0.322,0.68
St Ives (Cornwall) BUA,Small,South West,Most Deprived Working,0.981,0.37
Pocklington BUA,Small,Yorkshire and The Humber,Least Deprived Residential,0.458,0.83
Melton Mowbray BUA,Medium,East Midlands,Least Deprived Working,0.759,0.61
Catterick Garrison BUA,Small,Yorkshire and The Humber,Least Deprived Residential,0.378,0.99
Tonbridge BUA,Medium,South East,Least Deprived Mixed,0.639,0.71
Ravenshead BUA,Small,East Midlands,Least Deprived Residential,0.310,0.99
Castle Donington BUA,Small,East Midlands,Least Deprived Working,2.322,0.7
Penkridge BUA,Small,West Midlands,Least Deprived Residential,0.385,0.72
Boston BUA,Medium,East Midlands,Most Deprived Working,0.844,0.3
Crowborough BUA,Medium,South East,Least Deprived Mixed,0.591,0.88
King's Lynn BUA,Medium,East of England,Most Deprived Working,0.969,0.19
Haywards Heath BUA,Medium,South East,Least Deprived Mixed,0.624,0.89
Bridgwater BUA,Medium,South West,Most Deprived Mixed,0.640,0.17
Gainsborough BUA,Medium,East Midlands,Most Deprived Mixed,0.620,0.04
Dover BUA,Medium,South East,Most Deprived Mixed,0.572,0.14
Maidstone BUA,Large,South East,Mid Deprived Working,0.834,0.49
Bath BUA,Large,South West,Least Deprived Working,0.983,0.65
Scarborough BUA,Medium,Yorkshire and The Humber,Most Deprived Working,0.784,0.13
Oxted BUA,Small,South East,Least Deprived Mixed,0.646,0.91
Shepton Mallet BUA,Small,South West,Mid Deprived Working,0.749,0.49
Stone (Stafford) BUA,Small,West Midlands,Least Deprived Working,0.812,0.8
Godmanchester BUA,Small,East of England,Least Deprived Mixed,0.625,0.84
Polesworth BUA,Small,West Midlands,Mid Deprived Working,1.826,0.55
Otford BUA,Small,South East,Least Deprived Working,0.741,0.92
Kingsbridge BUA,Small,South West,Mid Deprived Working,0.878,0.42
Tewkesbury BUA,Small,South West,Mid Deprived Working,0.968,0.56
Bulford Camp BUA,Small,South West,Least Deprived Residential,0.245,0.84
West Clandon BUA,Small,South East,Least Deprived Residential,0.500,0.98
Prestwood BUA,Small,South East,Least Deprived Residential,0.552,0.95
Barnstaple BUA,Medium,South West,Most Deprived Working,1.156,0.28
Preesall BUA,Small,North West,Mid Deprived Residential,0.360,0.4
Melksham BUA,Small,South West,Mid Deprived Mixed,0.688,0.48
Warminster BUA,Small,South West,Least Deprived Mixed,0.648,0.64
Bridport BUA,Small,South West,Mid Deprived Working,0.799,0.45
Thame BUA,Small,South East,Least Deprived Working,1.145,0.94
Durham BUA,Medium,North East,Least Deprived Working,0.964,0.81
Rowlands Gill BUA,Small,North East,Most Deprived Mixed,0.262,0.23
Redcar BUASD,Medium,North East,Most Deprived Mixed,0.590,0.12
Kidderminster BUASD,Medium,West Midlands,Most Deprived Working,0.731,0.23
Chadderton BUASD,Medium,North West,Most Deprived Working,0.993,0.2
Longbenton BUASD,Medium,North East,Most Deprived Working,1.122,0.28
Watford BUASD,Large,East of England,Mid Deprived Working,1.349,0.53
Stevenage BUASD,Large,East of England,Most Deprived Working,0.872,0.34
Ramsbottom BUASD,Small,North West,Least Deprived Residential,0.509,0.82
Holmfirth BUASD,Medium,Yorkshire and The Humber,Least Deprived Working,0.798,0.76
Chalford BUASD,Small,South West,Least Deprived Residential,0.386,0.95
Church BUASD,Small,North West,Most Deprived Working,0.775,0
Bentley BUASD,Medium,Yorkshire and The Humber,Most Deprived Residential,0.359,0.16
Wednesbury BUASD,Small,West Midlands,Most Deprived Mixed,0.660,0.04
Bursledon BUASD,Small,South East,Mid Deprived Residential,0.482,0.48
Hyde (Tameside) BUASD,Medium,North West,Most Deprived Mixed,0.611,0.16
Clayton-le-Moors BUASD,Small,North West,Most Deprived Mixed,0.664,0.29
Birstall BUASD,Small,East Midlands,Least Deprived Mixed,0.266,0.75
Urmston BUASD,Medium,North West,Least Deprived Working,1.603,0.61
Poynton BUASD,Small,North West,Least Deprived Residential,0.487,0.96
York BUASD,Large,Yorkshire and The Humber,Least Deprived Working,0.933,0.63
Hindley BUASD,Medium,North West,Most Deprived Residential,0.333,0.29
Duffield BUASD,Small,East Midlands,Least Deprived Residential,0.441,0.95
Innsworth BUASD,Small,South West,Least Deprived Working,0.877,0.76
Uppermill BUASD,Small,North West,Least Deprived Working,0.773,0.96
Seaton Delaval BUASD,Small,North East,Most Deprived Residential,0.324,0.3
Sedgley BUASD,Medium,West Midlands,Most Deprived Residential,0.243,0.31
Sandy BUASD,Small,East of England,Mid Deprived Mixed,0.621,0.47
Launceston BUASD,Small,South West,Most Deprived Working,0.717,0.24
Brinsley BUASD,Small,East Midlands,Least Deprived Working,0.293,0.6
Gorleston-on-Sea BUASD,Medium,East of England,Least Deprived Mixed,0.635,0.09
North Ascot BUASD,Small,South East,Least Deprived Working,0.934,0.99
Walton-on-the-Naze BUASD,Small,East of England,Most Deprived Mixed,0.262,0.16
Borrowash BUASD,Small,East Midlands,Least Deprived Working,0.288,0.66
Dunscroft BUASD,Small,Yorkshire and The Humber,Most Deprived Residential,0.313,0.23
Fence Houses BUASD,Small,North East,Most Deprived Residential,0.326,0.16
Ware BUASD,Small,East of England,Least Deprived Working,0.724,0.78
Northam BUASD,Small,South West,Most Deprived Residential,0.449,0.32
Farnborough BUASD,Medium,South East,Least Deprived Working,0.894,0.65
Baldock BUASD,Small,East of England,Least Deprived Residential,0.443,0.61
Letchworth Garden City BUASD,Medium,East of England,Most Deprived Working,0.833,0.34
Chorley BUASD,Medium,North West,Most Deprived Working,0.772,0.25
Guiseley BUASD,Small,Yorkshire and The Humber,Least Deprived Mixed,0.592,0.93
Maidenhead BUASD,Medium,South East,Least Deprived Working,1.025,0.8
Basingstoke BUASD,Large,South East,Least Deprived Working,0.881,0.62
Swanley BUASD,Small,South East,Most Deprived Mixed,0.556,0.25
Horwich BUASD,Small,North West,Most Deprived Working,1.079,0.33
Thornton (Wyre) BUASD,Small,North West,Mid Deprived Residential,0.356,0.51
Ruddington BUASD,Small,East Midlands,Least Deprived Working,0.866,0.77
Chorleywood BUASD,Small,East of England,Least Deprived Residential,0.461,0.98
Shevington Vale BUASD,Small,North West,Least Deprived Residential,0.447,0.9
Hedon BUASD,Small,Yorkshire and The Humber,Least Deprived Mixed,0.680,0.69
Worthing BUASD,Large,South East,Mid Deprived Working,0.848,0.49
Saltdean BUASD,Small,South East,Least Deprived Residential,0.244,0.71
Romiley BUASD,Medium,North West,Most Deprived Working,0.770,0.11
Clifton (City of Nottingham) BUASD,Medium,East Midlands,Least Deprived Residential,0.367,0.07
South Elmsall BUASD,Small,Yorkshire and The Humber,Most Deprived Working,1.024,0.13
Ashton-in-Makerfield BUASD,Medium,North West,Mid Deprived Residential,0.461,0.44
Prescot BUASD,Medium,North West,Most Deprived Working,0.755,0.17
Sale BUASD,Large,North West,Most Deprived Working,0.786,0.12
South Kirkby BUASD,Small,Yorkshire and The Humber,Mid Deprived Residential,0.473,0.05
Eccles BUASD,Medium,North West,Mid Deprived Working,0.851,0.06
Cottingham BUASD,Small,Yorkshire and The Humber,Least Deprived Working,0.929,0.69
Dewsbury BUASD,Medium,Yorkshire and The Humber,Least Deprived Working,0.759,0.09
Syston BUASD,Small,East Midlands,Least Deprived Working,0.710,0.6
Morley BUASD,Medium,Yorkshire and The Humber,Mid Deprived Working,1.194,0.4
Gillingham BUASD,Large,South East,Most Deprived Mixed,0.631,0.34
Pelton BUASD,Small,North East,Most Deprived Residential,0.173,0.12
Rothwell BUASD,Small,Yorkshire and The Humber,Mid Deprived Residential,0.338,0.47
Aldershot BUASD,Medium,South East,Mid Deprived Mixed,0.563,0.5
Dunstable BUASD,Medium,East of England,Most Deprived Residential,0.482,0.38
Trimley St Mary BUASD,Small,East of England,Least Deprived Residential,0.453,0.8
Braunton BUASD,Small,South West,Least Deprived Residential,0.473,0.78
Hazel Grove BUASD,Small,North West,Least Deprived Working,0.879,0.81
Northfleet BUASD,Medium,South East,Most Deprived Mixed,0.559,0.21
New Milton BUASD,Small,South East,Mid Deprived Mixed,0.659,0.49
Heckmondwike BUASD,Small,Yorkshire and The Humber,Most Deprived Mixed,0.605,0.19
Ashtead BUASD,Small,South East,Least Deprived Residential,0.534,0.98
Altrincham BUASD,Medium,North West,Least Deprived Working,1.290,0.75
Hullbridge BUASD,Small,East of England,Least Deprived Residential,0.168,0.69
Bilston BUASD,Medium,West Midlands,Most Deprived Mixed,0.616,0
Woodbridge BUASD,Small,East of England,Least Deprived Working,0.878,0.65
Winchester BUASD,Medium,South East,Least Deprived Working,1.192,0.77
Histon BUASD,Small,East of England,Least Deprived Working,0.892,0.95
Denton BUASD,Medium,North West,Most Deprived Residential,0.515,0.22
Plymstock BUASD,Medium,South West,Least Deprived Mixed,0.590,0.76
Irlam BUASD,Small,North West,Most Deprived Working,0.715,0.19
Bedworth BUASD,Medium,West Midlands,Most Deprived Residential,0.555,0.26
Whickham BUASD,Small,North East,Mid Deprived Working,1.239,0.56
Kirkby-in-Ashfield BUASD,Medium,East Midlands,Most Deprived Working,1.026,0.18
Yatton BUASD,Small,South West,Least Deprived Residential,0.544,0.79
Middleton (Rochdale) BUASD,Medium,North West,Least Deprived Residential,0.444,0.09
Swinton BUASD,Medium,North West,Most Deprived Working,0.757,0.28
Sandhurst BUASD,Medium,South East,Least Deprived Mixed,0.570,0.93
St Austell BUASD,Medium,South West,Most Deprived Working,0.696,0.26
Swallownest BUASD,Small,Yorkshire and The Humber,Mid Deprived Residential,0.322,0.46
Dudley (Dudley) BUASD,Large,West Midlands,Most Deprived Working,1.055,0.02
Great Harwood BUASD,Small,North West,Most Deprived Residential,0.394,0.29
Groby BUASD,Small,East Midlands,Least Deprived Residential,0.223,0.93
Knottingley BUASD,Small,Yorkshire and The Humber,Least Deprived Residential,0.504,0.09
Cullompton BUASD,Small,South West,Mid Deprived Mixed,0.606,0.47
Wednesfield BUASD,Medium,West Midlands,Most Deprived Residential,0.512,0.1
Waterbeach BUASD,Small,East of England,Least Deprived Working,0.694,0.95
Ince-in-Makerfield BUASD,Small,North West,Most Deprived Mixed,0.635,0.01
Salford BUASD,Large,North West,Mid Deprived Working,1.217,0.05
Halifax BUASD,Large,Yorkshire and The Humber,Least Deprived Working,0.843,0.07
Crowthorne BUASD,Small,South East,Least Deprived Working,0.766,0.99
Bromsgrove BUASD,Medium,West Midlands,Mid Deprived Working,1.538,0.59
St Blazey BUASD,Small,South West,Most Deprived Mixed,0.609,0.27
Gatley BUASD,Medium,North West,Least Deprived Mixed,0.642,0.74
Bloxwich BUASD,Medium,West Midlands,Most Deprived Residential,0.542,0
Pickering BUASD,Small,Yorkshire and The Humber,Mid Deprived Working,0.887,0.59
Woburn Sands BUASD,Small,South East,Least Deprived Mixed,0.611,0.94
Heathfield BUASD,Small,South East,Least Deprived Residential,0.496,0.79
Euxton BUASD,Small,North West,Least Deprived Mixed,0.559,0.88
Weston BUASD,Small,South West,Mid Deprived Working,0.303,0.4
Kingswinford BUASD,Medium,West Midlands,Mid Deprived Residential,0.528,0.46
Uckfield BUASD,Small,South East,Least Deprived Mixed,0.579,0.8
Wells BUASD,Small,South West,Mid Deprived Working,1.033,0.52
Hetton-le-Hole BUASD,Small,North East,Most Deprived Working,0.284,0.04
Trowbridge BUASD,Medium,South West,Mid Deprived Mixed,0.622,0.42
Redhill BUASD,Medium,South East,Least Deprived Working,0.761,0.63
Addlestone BUASD,Small,South East,Least Deprived Residential,0.544,0.7
Haydock BUASD,Small,North West,Most Deprived Working,1.010,0.21
Coleford BUASD,Small,South West,Most Deprived Working,0.874,0.28
Smethwick BUASD,Medium,West Midlands,Most Deprived Mixed,0.662,0.01
Sutton in Ashfield BUASD,Medium,East Midlands,Most Deprived Working,0.810,0.17
Kidlington BUASD,Small,South East,Least Deprived Working,0.950,0.84
Chigwell BUASD,Small,East of England,Mid Deprived Residential,0.379,0.59
Ossett BUASD,Medium,Yorkshire and The Humber,Mid Deprived Mixed,0.596,0.48
Mansfield Woodhouse BUASD,Small,East Midlands,Most Deprived Residential,0.222,0.23
Southend-on-Sea BUASD,Large,East of England,Most Deprived Working,0.717,0.2
Brierley Hill BUASD,Medium,West Midlands,Most Deprived Working,0.742,0.18
Wallasey BUASD,Medium,North West,Least Deprived Residential,0.474,0.07
Harwich BUASD,Small,East of England,Most Deprived Residential,0.349,0.16
Barrow upon Soar BUASD,Small,East Midlands,Least Deprived Residential,0.469,0.8
Kendal BUASD,Medium,North West,Least Deprived Working,0.962,0.73
South Shields BUASD,Large,North East,Most Deprived Residential,0.498,0.04
Corsham BUASD,Small,South West,Mid Deprived Working,0.711,0.57
Mirfield BUASD,Small,Yorkshire and The Humber,Least Deprived Residential,0.390,0.6
Coppull BUASD,Small,North West,Mid Deprived Residential,0.345,0.41
Norwich BUASD,Large,East of England,Most Deprived Working,1.018,0.24
Higham Ferrers BUASD,Small,East Midlands,Least Deprived Residential,0.339,0.71
Norton-on-Derwent BUASD,Small,Yorkshire and The Humber,Mid Deprived Mixed,0.687,0.52
Stourbridge BUASD,Medium,West Midlands,Most Deprived Mixed,0.599,0.37
Westhoughton BUASD,Medium,North West,Mid Deprived Residential,0.310,0.48
Felixstowe BUASD,Medium,East of England,Mid Deprived Working,0.968,0.4
Yate BUASD,Medium,South West,Least Deprived Mixed,0.688,0.67
Goldthorpe BUASD,Small,Yorkshire and The Humber,Most Deprived Mixed,0.646,0
Whitehaven BUASD,Medium,North West,Most Deprived Mixed,0.567,0.24
Baildon BUASD,Small,Yorkshire and The Humber,Least Deprived Residential,0.500,0.67
Shefford BUASD,Small,East of England,Least Deprived Residential,0.512,0.74
Lees BUASD,Small,North West,Mid Deprived Working,0.284,0.54
Steyning BUASD,Small,South East,Least Deprived Residential,0.540,0.87
Nuneaton BUASD,Large,West Midlands,Most Deprived Mixed,0.654,0.27
Wisbech BUASD,Medium,East of England,Most Deprived Working,0.722,0.14
Chatham BUASD,Large,South East,Most Deprived Residential,0.531,0.17
Dukinfield BUASD,Medium,North West,Most Deprived Mixed,0.620,0.18
Falmouth BUASD,Medium,South West,Most Deprived Working,0.894,0.36
How Wood BUASD,Small,East of England,Least Deprived Working,0.277,0.91
Farnworth BUASD,Medium,North West,Most Deprived Mixed,0.649,0.02
Sawbridgeworth BUASD,Small,East of England,Least Deprived Residential,0.489,0.88
Whitstable BUASD,Medium,South East,Mid Deprived Residential,0.537,0.58
Cleckheaton BUASD,Small,Yorkshire and The Humber,Mid Deprived Working,0.856,0.44
Halesowen BUASD,Medium,West Midlands,Most Deprived Working,0.715,0.34
Nailsea BUASD,Small,South West,Least Deprived Residential,0.482,0.9
Ashford (Spelthorne) BUASD,Medium,South East,Least Deprived Residential,0.383,0.81
Sutton Coldfield BUASD,Large,West Midlands,Least Deprived Working,0.725,0.79
Northwood BUASD,Small,East of England,Most Deprived Working,1.204,1
Narborough/Enderby BUASD,Small,East Midlands,Least Deprived Working,3.049,0.82
Great Notley BUASD,Small,East of England,Least Deprived Residential,0.471,0.91
North Wingfield BUASD,Small,East Midlands,Most Deprived Mixed,0.638,0.11
Burnley BUASD,Large,North West,Least Deprived Working,0.708,0.08
Soham BUASD,Small,East of England,Least Deprived Residential,0.365,0.65
Hatfield BUASD,Medium,East of England,Mid Deprived Working,1.273,0.57
Burnham-on-Sea BUASD,Medium,South West,Most Deprived Mixed,0.671,0.31
Ingatestone BUASD,Small,East of England,Least Deprived Mixed,0.563,0.86
Bingley BUASD,Medium,Yorkshire and The Humber,Least Deprived Residential,0.520,0.7
Blackwater BUASD,Small,South East,Least Deprived Working,0.898,0.9
Crosby BUASD,Medium,North West,Most Deprived Mixed,0.561,0.23
Sandown BUASD,Small,South East,Most Deprived Mixed,0.660,0.15
Hessle BUASD,Small,Yorkshire and The Humber,Mid Deprived Working,1.237,0.57
Bishop Auckland BUASD,Medium,North East,Least Deprived Working,0.759,0.07
Immingham BUASD,Small,Yorkshire and The Humber,Mid Deprived Working,1.323,0.05
Bootle BUASD,Medium,North West,Most Deprived Working,0.870,0
Brough BUASD,Small,Yorkshire and The Humber,Least Deprived Working,0.837,0.99
Ouston BUASD,Small,North East,Least Deprived Residential,0.177,0.81
Polegate BUASD,Small,South East,Mid Deprived Residential,0.455,0.47
Haworth BUASD,Small,Yorkshire and The Humber,Least Deprived Residential,0.338,0.66
Great Wyrley BUASD,Small,West Midlands,Mid Deprived Working,0.287,0.5
Thrapston BUASD,Small,East Midlands,Least Deprived Working,0.886,0.9
Broadstairs BUASD,Medium,South East,Mid Deprived Working,1.166,0.44
Banstead BUASD,Small,South East,Least Deprived Mixed,0.614,0.91
Cheadle BUASD,Small,North West,Mid Deprived Working,1.341,0.42
Waltham BUASD,Small,Yorkshire and The Humber,Least Deprived Residential,0.343,0.83
Rawtenstall BUASD,Medium,North West,Most Deprived Residential,0.527,0.3
Houghton Regis BUASD,Small,East of England,Most Deprived Mixed,0.641,0.14
Rowley Regis BUASD,Medium,West Midlands,Least Deprived Residential,0.428,0.07
Workington BUASD,Medium,North West,Most Deprived Mixed,0.644,0.14
Billingham BUASD,Medium,North East,Most Deprived Mixed,0.565,0.25
Hebburn BUASD,Small,North East,Least Deprived Residential,0.358,0.08
Midsomer Norton BUASD,Small,South West,Least Deprived Mixed,0.646,0.74
Aldridge BUASD,Medium,West Midlands,Most Deprived Working,0.758,0.36
Kimberley BUASD,Small,East Midlands,Mid Deprived Residential,0.453,0.49
Macclesfield BUASD,Medium,North West,Mid Deprived Working,1.080,0.56
Windsor BUASD,Medium,South East,Least Deprived Working,1.033,0.83
Walkden BUASD,Medium,North West,Mid Deprived Mixed,0.588,0.46
Darlaston BUASD,Small,West Midlands,Most Deprived Mixed,0.592,0.01
Whitburn BUASD,Small,North East,Most Deprived Residential,0.131,0.25
Burton Latimer BUASD,Small,East Midlands,Mid Deprived Residential,0.542,0.48
Hucknall BUASD,Medium,East Midlands,Most Deprived Mixed,0.625,0.25
Oldbury (Sandwell) BUASD,Medium,West Midlands,Mid Deprived Working,1.973,0.05
Dodworth BUASD,Small,Yorkshire and The Humber,Mid Deprived Working,0.877,0.41
Stalybridge BUASD,Medium,North West,Most Deprived Residential,0.456,0.2
Stapleford BUASD,Small,East Midlands,Most Deprived Residential,0.354,0.37
Moorends BUASD,Small,Yorkshire and The Humber,Most Deprived Mixed,0.269,0.02
Bury St Edmunds BUASD,Medium,East of England,Least Deprived Working,1.253,0.64
Romsey BUASD,Small,South East,Least Deprived Working,0.888,0.81
Caterham BUASD,Medium,South East,Least Deprived Mixed,0.569,0.82
Thatcham BUASD,Medium,South East,Least Deprived Residential,0.548,0.75
Sheringham BUASD,Small,East of England,Mid Deprived Working,0.698,0.55
Carterton BUASD,Small,South East,Least Deprived Residential,0.211,0.92
Eastbourne BUASD,Large,South East,Most Deprived Working,0.835,0.32
Darwen BUASD,Medium,North West,Most Deprived Mixed,0.562,0.17
Horbury BUASD,Small,Yorkshire and The Humber,Least Deprived Residential,0.485,0.61
Braintree BUASD,Medium,East of England,Mid Deprived Mixed,0.628,0.4
Carlton (Gedling) BUASD,Medium,East Midlands,Most Deprived Residential,0.451,0.39
Wallingford BUASD,Small,South East,Least Deprived Working,1.038,0.71
Horsham BUASD,Medium,South East,Least Deprived Working,0.856,0.83
Bacup BUASD,Small,North West,Most Deprived Residential,0.344,0.04
Tyldesley BUASD,Small,North West,Mid Deprived Residential,0.235,0.52
Castleford BUASD,Medium,Yorkshire and The Humber,Most Deprived Working,1.064,0.11
Woodingdean BUASD,Small,South East,Most Deprived Residential,0.350,0.27
Heywood BUASD,Medium,North West,Least Deprived Working,0.879,0.08
Bramhall BUASD,Small,North West,Least Deprived Residential,0.386,0.96
Hartley (Sevenoaks) BUASD,Small,South East,Least Deprived Residential,0.454,0.85
Thurnscoe BUASD,Small,Yorkshire and The Humber,Most Deprived Residential,0.208,0
Radstock BUASD,Small,South West,Most Deprived Residential,0.526,0.38
Crawley BUASD,Large,South East,Mid Deprived Working,1.294,0.43
Worsbrough BUASD,Small,Yorkshire and The Humber,Most Deprived Mixed,0.265,0.02
Littlehampton BUASD,Medium,South East,Mid Deprived Residential,0.525,0.41
Goole BUASD,Medium,Yorkshire and The Humber,Most Deprived Mixed,0.620,0.23
Mexborough BUASD,Small,Yorkshire and The Humber,Most Deprived Residential,0.405,0.02
East Wittering BUASD,Small,South East,Mid Deprived Residential,0.375,0.48
Chichester BUASD,Medium,South East,Mid Deprived Working,1.392,0.54
Sturry BUASD,Small,South East,Least Deprived Working,0.723,0.6
Cromer BUASD,Small,East of England,Most Deprived Working,0.906,0.24
Ewell BUASD,Medium,South East,Least Deprived Mixed,0.620,0.87
Throckley BUASD,Small,North East,Mid Deprived Residential,0.315,0.06
Penryn BUASD,Small,South West,Most Deprived Mixed,0.619,0.39
Borehamwood BUASD,Medium,East of England,Most Deprived Working,1.011,0.35
Royton BUASD,Medium,North West,Mid Deprived Working,0.717,0.55
Kibworth Harcourt BUASD,Small,East Midlands,Least Deprived Residential,0.479,0.83
Thornton (Bradford) BUASD,Small,Yorkshire and The Humber,Most Deprived Residential,0.178,0.37
Shipley BUASD,Medium,Yorkshire and The Humber,Most Deprived Mixed,0.685,0.19
Droylsden BUASD,Medium,North West,Most Deprived Residential,0.227,0.22
Thorne BUASD,Small,Yorkshire and The Humber,Most Deprived Mixed,0.638,0.1
Banbury BUASD,Medium,South East,Most Deprived Working,0.984,0.39
Sevenoaks BUASD,Medium,South East,Least Deprived Working,0.970,0.93
Bollington BUASD,Small,North West,Least Deprived Working,0.835,0.83
Shevington BUASD,Small,North West,Least Deprived Residential,0.243,0.65
Blackburn BUASD,Large,North West,Mid Deprived Working,0.860,0.06
Kempston BUASD,Small,East of England,Most Deprived Working,0.816,0.3
Cirencester BUASD,Small,South West,Least Deprived Working,1.209,0.6
Whetstone BUASD,Small,East Midlands,Least Deprived Working,0.739,0.73
Brighouse BUASD,Medium,Yorkshire and The Humber,Mid Deprived Working,1.321,0.46
Nelson (Pendle) BUASD,Medium,North West,Most Deprived Residential,0.532,0.03
Whitefield BUASD,Medium,North West,Most Deprived Residential,0.368,0.2
Truro BUASD,Medium,South West,Most Deprived Working,1.892,0.39
Arnold BUASD,Medium,East Midlands,Mid Deprived Residential,0.410,0.41
Stamford BUASD,Small,East Midlands,Least Deprived Mixed,0.664,0.62
Broseley BUASD,Small,West Midlands,Mid Deprived Working,0.284,0.46
Taunton BUASD,Medium,South West,Mid Deprived Working,1.032,0.41
Ashton-under-Lyne BUASD,Medium,North West,Most Deprived Working,0.871,0.04
Eckington BUASD,Small,East Midlands,Most Deprived Residential,0.424,0.37
New Mills BUASD,Small,East Midlands,Least Deprived Residential,0.465,0.6
Oaklands BUASD,Small,East of England,Least Deprived Residential,0.325,0.97
Poole BUASD,Large,South West,Mid Deprived Working,0.966,0.52
Windermere BUASD,Small,North West,Least Deprived Working,0.795,0.77
Ackworth Moor Top BUASD,Small,Yorkshire and The Humber,Least Deprived Mixed,0.257,0.7
Rushden BUASD,Medium,East Midlands,Mid Deprived Residential,0.513,0.42
Alsager BUASD,Small,North West,Least Deprived Residential,0.379,0.7
Oswaldtwistle BUASD,Small,North West,Most Deprived Residential,0.352,0.33
Horndean BUASD,Medium,South East,Least Deprived Residential,0.506,0.69
Southwick BUASD,Small,South East,Most Deprived Residential,0.453,0.34
Dartmouth BUASD,Small,South West,Mid Deprived Working,0.965,0.46
Coseley BUASD,Medium,West Midlands,Most Deprived Residential,0.184,0.15
Christchurch BUASD,Medium,South West,Least Deprived Working,0.756,0.64
Birkenhead BUASD,Large,North West,Most Deprived Mixed,0.690,0.03
Fulwood BUASD,Medium,North West,Mid Deprived Working,0.806,0.59
Great Yarmouth BUASD,Medium,East of England,Most Deprived Working,0.870,0.02
Ingleby Barwick BUASD,Medium,North East,Least Deprived Mixed,0.268,0.97
Breaston BUASD,Small,East Midlands,Least Deprived Residential,0.333,0.67
North Hykeham BUASD,Small,East Midlands,Least Deprived Working,1.032,0.71
Wivenhoe BUASD,Small,East of England,Least Deprived Residential,0.206,0.89
Didcot BUASD,Medium,South East,Least Deprived Working,0.907,0.74
Chadwell St Mary BUASD,Small,East of England,Least Deprived Residential,0.191,0.09
Waltham Cross BUASD,Small,East of England,Most Deprived Working,1.364,0.14
Eastwood BUASD,Small,East Midlands,Most Deprived Mixed,0.629,0.27
Bordon BUASD,Small,South East,Least Deprived Residential,0.395,0.7
Camborne BUASD,Medium,South West,Mid Deprived Working,0.737,0.05
Blackheath BUASD,Small,West Midlands,Least Deprived Mixed,0.593,0.07
Taverham BUASD,Small,East of England,Least Deprived Residential,0.395,0.87
Little Lever BUASD,Small,North West,Mid Deprived Residential,0.205,0.55
Atherton BUASD,Medium,North West,Most Deprived Mixed,0.609,0.12
St Ives BUASD,Small,East of England,Least Deprived Working,0.726,0.75
Marlborough BUASD,Small,South West,Least Deprived Working,0.909,0.79
Hertford BUASD,Medium,East of England,Least Deprived Working,1.522,0.76
West Bridgford BUASD,Medium,East Midlands,Least Deprived Mixed,0.625,0.89
Bletchley BUASD,Medium,South East,Most Deprived Working,0.936,0.14
Berkhamsted BUASD,Medium,East of England,Least Deprived Working,0.997,0.95
Knaresborough BUASD,Small,Yorkshire and The Humber,Least Deprived Working,0.732,0.87
Willenhall BUASD,Medium,West Midlands,Least Deprived Mixed,0.617,0.08
Helston BUASD,Small,South West,Mid Deprived Working,0.693,0.46
Bulkington BUASD,Small,West Midlands,Least Deprived Mixed,0.274,0.68
Ramsgate BUASD,Medium,South East,Most Deprived Residential,0.478,0.03
Adlington BUASD,Small,North West,Least Deprived Residential,0.421,0.68
Kippax BUASD,Small,Yorkshire and The Humber,Least Deprived Residential,0.194,0.65
Penzance BUASD,Small,South West,Most Deprived Working,0.806,0.04
Cheadle Hulme BUASD,Medium,North West,Least Deprived Mixed,0.593,0.89
Radcliffe BUASD,Medium,North West,Most Deprived Residential,0.365,0.11
Coalville BUASD,Medium,East Midlands,Most Deprived Mixed,0.616,0.39
Garstang BUASD,Small,North West,Least Deprived Mixed,0.581,0.81
Tipton BUASD,Medium,West Midlands,Most Deprived Residential,0.450,0.01
Bridlington BUASD,Medium,Yorkshire and The Humber,Mid Deprived Residential,0.490,0.05
Litherland BUASD,Small,North West,Most Deprived Residential,0.222,0.02
Kirkham BUASD,Small,North West,Mid Deprived Mixed,0.656,0.56
