name,group,Region,quadrant,jobdensity,imd
Melton Mowbray BUA,Medium,East Midlands,Least Deprived Working,0.759,61
Catterick Garrison BUA,Small,Yorkshire and The Humber,Least Deprived Residential,0.378,99
Tonbridge BUA,Medium,South East,Least Deprived Mixed,0.639,71
Ravenshead BUA,Small,East Midlands,Least Deprived Residential,0.31,99
Castle Donington BUA,Small,East Midlands,Least Deprived Working,2.322,70
Penkridge BUA,Small,West Midlands,Least Deprived Residential,0.385,72
Boston BUA,Medium,East Midlands,Most Deprived Working,0.844,30
Crowborough BUA,Medium,South East,Least Deprived Mixed,0.591,88
King's Lynn BUA,Medium,East of England,Most Deprived Working,0.969,19
Haywards Heath BUA,Medium,South East,Least Deprived Mixed,0.624,89
Bridgwater BUA,Medium,South West,Most Deprived Mixed,0.64,17
Gainsborough BUA,Medium,East Midlands,Most Deprived Mixed,0.62,4
Dover BUA,Medium,South East,Most Deprived Mixed,0.572,14
Maidstone BUA,Large,South East,Mid Deprived Working,0.834,49
Bath BUA,Large,South West,Least Deprived Working,0.983,65
Scarborough BUA,Medium,Yorkshire and The Humber,Most Deprived Working,0.784,13
Oxted BUA,Small,South East,Least Deprived Mixed,0.646,91
Shepton Mallet BUA,Small,South West,Mid Deprived Working,0.749,49
Stone (Stafford) BUA,Small,West Midlands,Least Deprived Working,0.812,80
Godmanchester BUA,Small,East of England,Least Deprived Mixed,0.625,84
Polesworth BUA,Small,West Midlands,Mid Deprived Working,1.826,55
Otford BUA,Small,South East,Least Deprived Working,0.741,92
Kingsbridge BUA,Small,South West,Mid Deprived Working,0.878,42
Tewkesbury BUA,Small,South West,Mid Deprived Working,0.968,56
Bulford Camp BUA,Small,South West,Least Deprived Residential,0.245,84
West Clandon BUA,Small,South East,Least Deprived Residential,0.5,98
Prestwood BUA,Small,South East,Least Deprived Residential,0.552,95
Barnstaple BUA,Medium,South West,Most Deprived Working,1.156,28
Preesall BUA,Small,North West,Mid Deprived Residential,0.36,40
Melksham BUA,Small,South West,Mid Deprived Mixed,0.688,48
Warminster BUA,Small,South West,Least Deprived Mixed,0.648,64
Bridport BUA,Small,South West,Mid Deprived Working,0.799,45
Thame BUA,Small,South East,Least Deprived Working,1.145,94
Durham BUA,Medium,North East,Least Deprived Working,0.964,81
Rowlands Gill BUA,Small,North East,Most Deprived Mixed,0.262,23
Redcar BUASD,Medium,North East,Most Deprived Mixed,0.59,12
Kidderminster BUASD,Medium,West Midlands,Most Deprived Working,0.731,23
Chadderton BUASD,Medium,North West,Most Deprived Working,0.993,20
Longbenton BUASD,Medium,North East,Most Deprived Working,1.122,28
Watford BUASD,Large,East of England,Mid Deprived Working,1.349,53
Stevenage BUASD,Large,East of England,Most Deprived Working,0.872,34
Ramsbottom BUASD,Small,North West,Least Deprived Residential,0.509,82
Holmfirth BUASD,Medium,Yorkshire and The Humber,Least Deprived Working,0.798,76
Chalford BUASD,Small,South West,Least Deprived Residential,0.386,95
Church BUASD,Small,North West,Most Deprived Working,0.775,0
Bentley BUASD,Medium,Yorkshire and The Humber,Most Deprived Residential,0.359,16
Wednesbury BUASD,Small,West Midlands,Most Deprived Mixed,0.66,4
Bursledon BUASD,Small,South East,Mid Deprived Residential,0.482,48
Hyde (Tameside) BUASD,Medium,North West,Most Deprived Mixed,0.611,16
Clayton-le-Moors BUASD,Small,North West,Most Deprived Mixed,0.664,29
Birstall BUASD,Small,East Midlands,Least Deprived Mixed,0.266,75
Urmston BUASD,Medium,North West,Least Deprived Working,1.603,61
Poynton BUASD,Small,North West,Least Deprived Residential,0.487,96
York BUASD,Large,Yorkshire and The Humber,Least Deprived Working,0.933,63
Hindley BUASD,Medium,North West,Most Deprived Residential,0.333,29
Duffield BUASD,Small,East Midlands,Least Deprived Residential,0.441,95
Innsworth BUASD,Small,South West,Least Deprived Working,0.877,76
Uppermill BUASD,Small,North West,Least Deprived Working,0.773,96
Seaton Delaval BUASD,Small,North East,Most Deprived Residential,0.324,30
Sedgley BUASD,Medium,West Midlands,Most Deprived Residential,0.243,31
Sandy BUASD,Small,East of England,Mid Deprived Mixed,0.621,47
Launceston BUASD,Small,South West,Most Deprived Working,0.717,24
Brinsley BUASD,Small,East Midlands,Least Deprived Working,0.293,60
Gorleston-on-Sea BUASD,Medium,East of England,Least Deprived Mixed,0.635,9
North Ascot BUASD,Small,South East,Least Deprived Working,0.934,99
Walton-on-the-Naze BUASD,Small,East of England,Most Deprived Mixed,0.262,16
Borrowash BUASD,Small,East Midlands,Least Deprived Working,0.288,66
Dunscroft BUASD,Small,Yorkshire and The Humber,Most Deprived Residential,0.313,23
Fence Houses BUASD,Small,North East,Most Deprived Residential,0.326,16
Ware BUASD,Small,East of England,Least Deprived Working,0.724,78
Northam BUASD,Small,South West,Most Deprived Residential,0.449,32
Farnborough BUASD,Medium,South East,Least Deprived Working,0.894,65
Baldock BUASD,Small,East of England,Least Deprived Residential,0.443,61
Letchworth Garden City BUASD,Medium,East of England,Most Deprived Working,0.833,34
Chorley BUASD,Medium,North West,Most Deprived Working,0.772,25
Guiseley BUASD,Small,Yorkshire and The Humber,Least Deprived Mixed,0.592,93
Maidenhead BUASD,Medium,South East,Least Deprived Working,1.025,80
Basingstoke BUASD,Large,South East,Least Deprived Working,0.881,62
Swanley BUASD,Small,South East,Most Deprived Mixed,0.556,25
Horwich BUASD,Small,North West,Most Deprived Working,1.079,33
Thornton (Wyre) BUASD,Small,North West,Mid Deprived Residential,0.356,51
Ruddington BUASD,Small,East Midlands,Least Deprived Working,0.866,77
Chorleywood BUASD,Small,East of England,Least Deprived Residential,0.461,98
Shevington Vale BUASD,Small,North West,Least Deprived Residential,0.447,90
Hedon BUASD,Small,Yorkshire and The Humber,Least Deprived Mixed,0.68,69
Worthing BUASD,Large,South East,Mid Deprived Working,0.848,49
Saltdean BUASD,Small,South East,Least Deprived Residential,0.244,71
Romiley BUASD,Medium,North West,Most Deprived Working,0.77,11
Clifton (City of Nottingham) BUASD,Medium,East Midlands,Least Deprived Residential,0.367,7
South Elmsall BUASD,Small,Yorkshire and The Humber,Most Deprived Working,1.024,13
Ashton-in-Makerfield BUASD,Medium,North West,Mid Deprived Residential,0.461,44
Prescot BUASD,Medium,North West,Most Deprived Working,0.755,17
Sale BUASD,Large,North West,Most Deprived Working,0.786,12
South Kirkby BUASD,Small,Yorkshire and The Humber,Mid Deprived Residential,0.473,5
Eccles BUASD,Medium,North West,Mid Deprived Working,0.851,6
Cottingham BUASD,Small,Yorkshire and The Humber,Least Deprived Working,0.929,69
Dewsbury BUASD,Medium,Yorkshire and The Humber,Least Deprived Working,0.759,9
Syston BUASD,Small,East Midlands,Least Deprived Working,0.71,60
Morley BUASD,Medium,Yorkshire and The Humber,Mid Deprived Working,1.194,40
Gillingham BUASD,Large,South East,Most Deprived Mixed,0.631,34
Pelton BUASD,Small,North East,Most Deprived Residential,0.173,12
Rothwell BUASD,Small,Yorkshire and The Humber,Mid Deprived Residential,0.338,47
Aldershot BUASD,Medium,South East,Mid Deprived Mixed,0.563,50
Dunstable BUASD,Medium,East of England,Most Deprived Residential,0.482,38
Trimley St Mary BUASD,Small,East of England,Least Deprived Residential,0.453,80
Braunton BUASD,Small,South West,Least Deprived Residential,0.473,78
Hazel Grove BUASD,Small,North West,Least Deprived Working,0.879,81
Northfleet BUASD,Medium,South East,Most Deprived Mixed,0.559,21
New Milton BUASD,Small,South East,Mid Deprived Mixed,0.659,49
Heckmondwike BUASD,Small,Yorkshire and The Humber,Most Deprived Mixed,0.605,19
Ashtead BUASD,Small,South East,Least Deprived Residential,0.534,98
Altrincham BUASD,Medium,North West,Least Deprived Working,1.29,75
Hullbridge BUASD,Small,East of England,Least Deprived Residential,0.168,69
Bilston BUASD,Medium,West Midlands,Most Deprived Mixed,0.616,0
Woodbridge BUASD,Small,East of England,Least Deprived Working,0.878,65
Winchester BUASD,Medium,South East,Least Deprived Working,1.192,77
Histon BUASD,Small,East of England,Least Deprived Working,0.892,95
Denton BUASD,Medium,North West,Most Deprived Residential,0.515,22
Plymstock BUASD,Medium,South West,Least Deprived Mixed,0.59,76
Irlam BUASD,Small,North West,Most Deprived Working,0.715,19
Bedworth BUASD,Medium,West Midlands,Most Deprived Residential,0.555,26
Whickham BUASD,Small,North East,Mid Deprived Working,1.239,56
Kirkby-in-Ashfield BUASD,Medium,East Midlands,Most Deprived Working,1.026,18
Yatton BUASD,Small,South West,Least Deprived Residential,0.544,79
Middleton (Rochdale) BUASD,Medium,North West,Least Deprived Residential,0.444,9
Swinton BUASD,Medium,North West,Most Deprived Working,0.757,28
Sandhurst BUASD,Medium,South East,Least Deprived Mixed,0.57,93
St Austell BUASD,Medium,South West,Most Deprived Working,0.696,26
Swallownest BUASD,Small,Yorkshire and The Humber,Mid Deprived Residential,0.322,46
Dudley (Dudley) BUASD,Large,West Midlands,Most Deprived Working,1.055,2
Great Harwood BUASD,Small,North West,Most Deprived Residential,0.394,29
Groby BUASD,Small,East Midlands,Least Deprived Residential,0.223,93
Knottingley BUASD,Small,Yorkshire and The Humber,Least Deprived Residential,0.504,9
Cullompton BUASD,Small,South West,Mid Deprived Mixed,0.606,47
Wednesfield BUASD,Medium,West Midlands,Most Deprived Residential,0.512,10
Waterbeach BUASD,Small,East of England,Least Deprived Working,0.694,95
Ince-in-Makerfield BUASD,Small,North West,Most Deprived Mixed,0.635,1
Salford BUASD,Large,North West,Mid Deprived Working,1.217,5
Halifax BUASD,Large,Yorkshire and The Humber,Least Deprived Working,0.843,7
Crowthorne BUASD,Small,South East,Least Deprived Working,0.766,99
Bromsgrove BUASD,Medium,West Midlands,Mid Deprived Working,1.538,59
St Blazey BUASD,Small,South West,Most Deprived Mixed,0.609,27
Gatley BUASD,Medium,North West,Least Deprived Mixed,0.642,74
Bloxwich BUASD,Medium,West Midlands,Most Deprived Residential,0.542,0
Pickering BUASD,Small,Yorkshire and The Humber,Mid Deprived Working,0.887,59
Woburn Sands BUASD,Small,South East,Least Deprived Mixed,0.611,94
Heathfield BUASD,Small,South East,Least Deprived Residential,0.496,79
Euxton BUASD,Small,North West,Least Deprived Mixed,0.559,88
Weston BUASD,Small,South West,Mid Deprived Working,0.303,40
Kingswinford BUASD,Medium,West Midlands,Mid Deprived Residential,0.528,46
Uckfield BUASD,Small,South East,Least Deprived Mixed,0.579,80
Wells BUASD,Small,South West,Mid Deprived Working,1.033,52
Hetton-le-Hole BUASD,Small,North East,Most Deprived Working,0.284,4
Trowbridge BUASD,Medium,South West,Mid Deprived Mixed,0.622,42
Redhill BUASD,Medium,South East,Least Deprived Working,0.761,63
Addlestone BUASD,Small,South East,Least Deprived Residential,0.544,70
Haydock BUASD,Small,North West,Most Deprived Working,1.01,21
Coleford BUASD,Small,South West,Most Deprived Working,0.874,28
Smethwick BUASD,Medium,West Midlands,Most Deprived Mixed,0.662,1
Sutton in Ashfield BUASD,Medium,East Midlands,Most Deprived Working,0.81,17
Kidlington BUASD,Small,South East,Least Deprived Working,0.95,84
Chigwell BUASD,Small,East of England,Mid Deprived Residential,0.379,59
Ossett BUASD,Medium,Yorkshire and The Humber,Mid Deprived Mixed,0.596,48
Mansfield Woodhouse BUASD,Small,East Midlands,Most Deprived Residential,0.222,23
Southend-on-Sea BUASD,Large,East of England,Most Deprived Working,0.717,20
Brierley Hill BUASD,Medium,West Midlands,Most Deprived Working,0.742,18
Wallasey BUASD,Medium,North West,Least Deprived Residential,0.474,7
Harwich BUASD,Small,East of England,Most Deprived Residential,0.349,16
Barrow upon Soar BUASD,Small,East Midlands,Least Deprived Residential,0.469,80
Kendal BUASD,Medium,North West,Least Deprived Working,0.962,73
South Shields BUASD,Large,North East,Most Deprived Residential,0.498,4
Corsham BUASD,Small,South West,Mid Deprived Working,0.711,57
Mirfield BUASD,Small,Yorkshire and The Humber,Least Deprived Residential,0.39,60
Coppull BUASD,Small,North West,Mid Deprived Residential,0.345,41
Norwich BUASD,Large,East of England,Most Deprived Working,1.018,24
Higham Ferrers BUASD,Small,East Midlands,Least Deprived Residential,0.339,71
Norton-on-Derwent BUASD,Small,Yorkshire and The Humber,Mid Deprived Mixed,0.687,52
Stourbridge BUASD,Medium,West Midlands,Most Deprived Mixed,0.599,37
Westhoughton BUASD,Medium,North West,Mid Deprived Residential,0.31,48
Felixstowe BUASD,Medium,East of England,Mid Deprived Working,0.968,40
Yate BUASD,Medium,South West,Least Deprived Mixed,0.688,67
Goldthorpe BUASD,Small,Yorkshire and The Humber,Most Deprived Mixed,0.646,0
Whitehaven BUASD,Medium,North West,Most Deprived Mixed,0.567,24
Baildon BUASD,Small,Yorkshire and The Humber,Least Deprived Residential,0.5,67
Shefford BUASD,Small,East of England,Least Deprived Residential,0.512,74
Lees BUASD,Small,North West,Mid Deprived Working,0.284,54
Steyning BUASD,Small,South East,Least Deprived Residential,0.54,87
Nuneaton BUASD,Large,West Midlands,Most Deprived Mixed,0.654,27
Wisbech BUASD,Medium,East of England,Most Deprived Working,0.722,14
Chatham BUASD,Large,South East,Most Deprived Residential,0.531,17
Dukinfield BUASD,Medium,North West,Most Deprived Mixed,0.62,18
Falmouth BUASD,Medium,South West,Most Deprived Working,0.894,36
How Wood BUASD,Small,East of England,Least Deprived Working,0.277,91
Farnworth BUASD,Medium,North West,Most Deprived Mixed,0.649,2
Sawbridgeworth BUASD,Small,East of England,Least Deprived Residential,0.489,88
Whitstable BUASD,Medium,South East,Mid Deprived Residential,0.537,58
Cleckheaton BUASD,Small,Yorkshire and The Humber,Mid Deprived Working,0.856,44
Halesowen BUASD,Medium,West Midlands,Most Deprived Working,0.715,34
Nailsea BUASD,Small,South West,Least Deprived Residential,0.482,90
Ashford (Spelthorne) BUASD,Medium,South East,Least Deprived Residential,0.383,81
Sutton Coldfield BUASD,Large,West Midlands,Least Deprived Working,0.725,79
Northwood BUASD,Small,East of England,Most Deprived Working,1.204,100
Narborough/Enderby BUASD,Small,East Midlands,Least Deprived Working,3.049,82
Great Notley BUASD,Small,East of England,Least Deprived Residential,0.471,91
North Wingfield BUASD,Small,East Midlands,Most Deprived Mixed,0.638,11
Burnley BUASD,Large,North West,Least Deprived Working,0.708,8
Soham BUASD,Small,East of England,Least Deprived Residential,0.365,65
Hatfield BUASD,Medium,East of England,Mid Deprived Working,1.273,57
Burnham-on-Sea BUASD,Medium,South West,Most Deprived Mixed,0.671,31
Ingatestone BUASD,Small,East of England,Least Deprived Mixed,0.563,86
Bingley BUASD,Medium,Yorkshire and The Humber,Least Deprived Residential,0.52,70
Blackwater BUASD,Small,South East,Least Deprived Working,0.898,90
Crosby BUASD,Medium,North West,Most Deprived Mixed,0.561,23
Sandown BUASD,Small,South East,Most Deprived Mixed,0.66,15
Hessle BUASD,Small,Yorkshire and The Humber,Mid Deprived Working,1.237,57
Bishop Auckland BUASD,Medium,North East,Least Deprived Working,0.759,7
Immingham BUASD,Small,Yorkshire and The Humber,Mid Deprived Working,1.323,5
Bootle BUASD,Medium,North West,Most Deprived Working,0.87,0
Brough BUASD,Small,Yorkshire and The Humber,Least Deprived Working,0.837,99
Ouston BUASD,Small,North East,Least Deprived Residential,0.177,81
Polegate BUASD,Small,South East,Mid Deprived Residential,0.455,47
Haworth BUASD,Small,Yorkshire and The Humber,Least Deprived Residential,0.338,66
Great Wyrley BUASD,Small,West Midlands,Mid Deprived Working,0.287,50
Thrapston BUASD,Small,East Midlands,Least Deprived Working,0.886,90
Broadstairs BUASD,Medium,South East,Mid Deprived Working,1.166,44
Banstead BUASD,Small,South East,Least Deprived Mixed,0.614,91
Cheadle BUASD,Small,North West,Mid Deprived Working,1.341,42
Waltham BUASD,Small,Yorkshire and The Humber,Least Deprived Residential,0.343,83
Rawtenstall BUASD,Medium,North West,Most Deprived Residential,0.527,30
Houghton Regis BUASD,Small,East of England,Most Deprived Mixed,0.641,14
Rowley Regis BUASD,Medium,West Midlands,Least Deprived Residential,0.428,7
Workington BUASD,Medium,North West,Most Deprived Mixed,0.644,14
Billingham BUASD,Medium,North East,Most Deprived Mixed,0.565,25
Hebburn BUASD,Small,North East,Least Deprived Residential,0.358,8
Midsomer Norton BUASD,Small,South West,Least Deprived Mixed,0.646,74
Aldridge BUASD,Medium,West Midlands,Most Deprived Working,0.758,36
Kimberley BUASD,Small,East Midlands,Mid Deprived Residential,0.453,49
Macclesfield BUASD,Medium,North West,Mid Deprived Working,1.08,56
Windsor BUASD,Medium,South East,Least Deprived Working,1.033,83
Walkden BUASD,Medium,North West,Mid Deprived Mixed,0.588,46
Darlaston BUASD,Small,West Midlands,Most Deprived Mixed,0.592,1
Whitburn BUASD,Small,North East,Most Deprived Residential,0.131,25
Burton Latimer BUASD,Small,East Midlands,Mid Deprived Residential,0.542,48
Hucknall BUASD,Medium,East Midlands,Most Deprived Mixed,0.625,25
Oldbury (Sandwell) BUASD,Medium,West Midlands,Mid Deprived Working,1.973,5
Dodworth BUASD,Small,Yorkshire and The Humber,Mid Deprived Working,0.877,41
Stalybridge BUASD,Medium,North West,Most Deprived Residential,0.456,20
Stapleford BUASD,Small,East Midlands,Most Deprived Residential,0.354,37
Moorends BUASD,Small,Yorkshire and The Humber,Most Deprived Mixed,0.269,2
Bury St Edmunds BUASD,Medium,East of England,Least Deprived Working,1.253,64
Romsey BUASD,Small,South East,Least Deprived Working,0.888,81
Caterham BUASD,Medium,South East,Least Deprived Mixed,0.569,82
Thatcham BUASD,Medium,South East,Least Deprived Residential,0.548,75
Sheringham BUASD,Small,East of England,Mid Deprived Working,0.698,55
Carterton BUASD,Small,South East,Least Deprived Residential,0.211,92
Eastbourne BUASD,Large,South East,Most Deprived Working,0.835,32
Darwen BUASD,Medium,North West,Most Deprived Mixed,0.562,17
Horbury BUASD,Small,Yorkshire and The Humber,Least Deprived Residential,0.485,61
Braintree BUASD,Medium,East of England,Mid Deprived Mixed,0.628,40
Carlton (Gedling) BUASD,Medium,East Midlands,Most Deprived Residential,0.451,39
Wallingford BUASD,Small,South East,Least Deprived Working,1.038,71
Horsham BUASD,Medium,South East,Least Deprived Working,0.856,83
Bacup BUASD,Small,North West,Most Deprived Residential,0.344,4
Tyldesley BUASD,Small,North West,Mid Deprived Residential,0.235,52
Castleford BUASD,Medium,Yorkshire and The Humber,Most Deprived Working,1.064,11
Woodingdean BUASD,Small,South East,Most Deprived Residential,0.35,27
Heywood BUASD,Medium,North West,Least Deprived Working,0.879,8
Bramhall BUASD,Small,North West,Least Deprived Residential,0.386,96
Hartley (Sevenoaks) BUASD,Small,South East,Least Deprived Residential,0.454,85
Thurnscoe BUASD,Small,Yorkshire and The Humber,Most Deprived Residential,0.208,0
Radstock BUASD,Small,South West,Most Deprived Residential,0.526,38
Crawley BUASD,Large,South East,Mid Deprived Working,1.294,43
Worsbrough BUASD,Small,Yorkshire and The Humber,Most Deprived Mixed,0.265,2
Littlehampton BUASD,Medium,South East,Mid Deprived Residential,0.525,41
Goole BUASD,Medium,Yorkshire and The Humber,Most Deprived Mixed,0.62,23
Mexborough BUASD,Small,Yorkshire and The Humber,Most Deprived Residential,0.405,2
East Wittering BUASD,Small,South East,Mid Deprived Residential,0.375,48
Chichester BUASD,Medium,South East,Mid Deprived Working,1.392,54
Sturry BUASD,Small,South East,Least Deprived Working,0.723,60
Cromer BUASD,Small,East of England,Most Deprived Working,0.906,24
Ewell BUASD,Medium,South East,Least Deprived Mixed,0.62,87
Throckley BUASD,Small,North East,Mid Deprived Residential,0.315,6
Penryn BUASD,Small,South West,Most Deprived Mixed,0.619,39
Borehamwood BUASD,Medium,East of England,Most Deprived Working,1.011,35
Royton BUASD,Medium,North West,Mid Deprived Working,0.717,55
Kibworth Harcourt BUASD,Small,East Midlands,Least Deprived Residential,0.479,83
Thornton (Bradford) BUASD,Small,Yorkshire and The Humber,Most Deprived Residential,0.178,37
Shipley BUASD,Medium,Yorkshire and The Humber,Most Deprived Mixed,0.685,19
Droylsden BUASD,Medium,North West,Most Deprived Residential,0.227,22
Thorne BUASD,Small,Yorkshire and The Humber,Most Deprived Mixed,0.638,10
Banbury BUASD,Medium,South East,Most Deprived Working,0.984,39
Sevenoaks BUASD,Medium,South East,Least Deprived Working,0.97,93
Bollington BUASD,Small,North West,Least Deprived Working,0.835,83
Shevington BUASD,Small,North West,Least Deprived Residential,0.243,65
Blackburn BUASD,Large,North West,Mid Deprived Working,0.86,6
Kempston BUASD,Small,East of England,Most Deprived Working,0.816,30
Cirencester BUASD,Small,South West,Least Deprived Working,1.209,60
Whetstone BUASD,Small,East Midlands,Least Deprived Working,0.739,73
Brighouse BUASD,Medium,Yorkshire and The Humber,Mid Deprived Working,1.321,46
Nelson (Pendle) BUASD,Medium,North West,Most Deprived Residential,0.532,3
Whitefield BUASD,Medium,North West,Most Deprived Residential,0.368,20
Truro BUASD,Medium,South West,Most Deprived Working,1.892,39
Arnold BUASD,Medium,East Midlands,Mid Deprived Residential,0.41,41
Stamford BUASD,Small,East Midlands,Least Deprived Mixed,0.664,62
Broseley BUASD,Small,West Midlands,Mid Deprived Working,0.284,46
Taunton BUASD,Medium,South West,Mid Deprived Working,1.032,41
Ashton-under-Lyne BUASD,Medium,North West,Most Deprived Working,0.871,4
Eckington BUASD,Small,East Midlands,Most Deprived Residential,0.424,37
New Mills BUASD,Small,East Midlands,Least Deprived Residential,0.465,60
Oaklands BUASD,Small,East of England,Least Deprived Residential,0.325,97
Poole BUASD,Large,South West,Mid Deprived Working,0.966,52
Windermere BUASD,Small,North West,Least Deprived Working,0.795,77
Ackworth Moor Top BUASD,Small,Yorkshire and The Humber,Least Deprived Mixed,0.257,70
Rushden BUASD,Medium,East Midlands,Mid Deprived Residential,0.513,42
Alsager BUASD,Small,North West,Least Deprived Residential,0.379,70
Oswaldtwistle BUASD,Small,North West,Most Deprived Residential,0.352,33
Horndean BUASD,Medium,South East,Least Deprived Residential,0.506,69
Southwick BUASD,Small,South East,Most Deprived Residential,0.453,34
Dartmouth BUASD,Small,South West,Mid Deprived Working,0.965,46
Coseley BUASD,Medium,West Midlands,Most Deprived Residential,0.184,15
Christchurch BUASD,Medium,South West,Least Deprived Working,0.756,64
Birkenhead BUASD,Large,North West,Most Deprived Mixed,0.69,3
Fulwood BUASD,Medium,North West,Mid Deprived Working,0.806,59
Great Yarmouth BUASD,Medium,East of England,Most Deprived Working,0.87,2
Ingleby Barwick BUASD,Medium,North East,Least Deprived Mixed,0.268,97
Breaston BUASD,Small,East Midlands,Least Deprived Residential,0.333,67
North Hykeham BUASD,Small,East Midlands,Least Deprived Working,1.032,71
Wivenhoe BUASD,Small,East of England,Least Deprived Residential,0.206,89
Didcot BUASD,Medium,South East,Least Deprived Working,0.907,74
Chadwell St Mary BUASD,Small,East of England,Least Deprived Residential,0.191,9
Waltham Cross BUASD,Small,East of England,Most Deprived Working,1.364,14
Eastwood BUASD,Small,East Midlands,Most Deprived Mixed,0.629,27
Bordon BUASD,Small,South East,Least Deprived Residential,0.395,70
Camborne BUASD,Medium,South West,Mid Deprived Working,0.737,5
Blackheath BUASD,Small,West Midlands,Least Deprived Mixed,0.593,7
Taverham BUASD,Small,East of England,Least Deprived Residential,0.395,87
Little Lever BUASD,Small,North West,Mid Deprived Residential,0.205,55
Atherton BUASD,Medium,North West,Most Deprived Mixed,0.609,12
St Ives BUASD,Small,East of England,Least Deprived Working,0.726,75
Marlborough BUASD,Small,South West,Least Deprived Working,0.909,79
Hertford BUASD,Medium,East of England,Least Deprived Working,1.522,76
West Bridgford BUASD,Medium,East Midlands,Least Deprived Mixed,0.625,89
Bletchley BUASD,Medium,South East,Most Deprived Working,0.936,14
Berkhamsted BUASD,Medium,East of England,Least Deprived Working,0.997,95
Knaresborough BUASD,Small,Yorkshire and The Humber,Least Deprived Working,0.732,87
Willenhall BUASD,Medium,West Midlands,Least Deprived Mixed,0.617,8
Helston BUASD,Small,South West,Mid Deprived Working,0.693,46
Bulkington BUASD,Small,West Midlands,Least Deprived Mixed,0.274,68
Ramsgate BUASD,Medium,South East,Most Deprived Residential,0.478,3
Adlington BUASD,Small,North West,Least Deprived Residential,0.421,68
Kippax BUASD,Small,Yorkshire and The Humber,Least Deprived Residential,0.194,65
Penzance BUASD,Small,South West,Most Deprived Working,0.806,4
Cheadle Hulme BUASD,Medium,North West,Least Deprived Mixed,0.593,89
Radcliffe BUASD,Medium,North West,Most Deprived Residential,0.365,11
Coalville BUASD,Medium,East Midlands,Most Deprived Mixed,0.616,39
Garstang BUASD,Small,North West,Least Deprived Mixed,0.581,81
Tipton BUASD,Medium,West Midlands,Most Deprived Residential,0.45,1
Bridlington BUASD,Medium,Yorkshire and The Humber,Mid Deprived Residential,0.49,5
Litherland BUASD,Small,North West,Most Deprived Residential,0.222,2
Kirkham BUASD,Small,North West,Mid Deprived Mixed,0.656,56
Barnsley BUASD,Large,Yorkshire and The Humber,Most Deprived Working,0.768,13
Platt Bridge BUASD,Small,North West,Most Deprived Mixed,0.262,11
Luton BUASD,Large,East of England,Most Deprived Working,0.827,19
Wath upon Dearne BUASD,Medium,Yorkshire and The Humber,Most Deprived Working,1.119,16
Quorn (Quorndon) BUASD,Small,East Midlands,Least Deprived Residential,0.386,93
Burscough BUASD,Small,North West,Mid Deprived Mixed,0.689,58
Dursley BUASD,Small,South West,Mid Deprived Residential,0.367,57
Harrogate BUASD,Medium,Yorkshire and The Humber,Least Deprived Working,0.982,73
Godalming BUASD,Medium,South East,Least Deprived Working,0.888,85
Kingsteignton BUASD,Small,South West,Least Deprived Residential,0.513,60
Bebington BUASD,Medium,North West,Mid Deprived Working,0.806,45
East Cowes BUASD,Small,South East,Most Deprived Residential,0.392,15
Frampton Cotterell/Winterbourne BUASD,Small,South West,Least Deprived Residential,0.338,85
Long Eaton BUASD,Medium,East Midlands,Most Deprived Residential,0.53,38
West Bromwich (East) BUASD,Small,West Midlands,Mid Deprived Residential,0.21,40
Bolton Upon Dearne BUASD,Small,Yorkshire and The Humber,Least Deprived Mixed,0.263,8
Lytham St Anne's BUASD,Medium,North West,Mid Deprived Working,0.692,52
Wellington BUASD,Small,South West,Mid Deprived Mixed,0.667,44
Failsworth BUASD,Small,North West,Most Deprived Residential,0.436,20
Haslingden BUASD,Small,North West,Most Deprived Residential,0.548,32
Heysham BUASD,Small,North West,Most Deprived Residential,0.409,20
Cleethorpes BUASD,Medium,Yorkshire and The Humber,Most Deprived Residential,0.525,15
Walton-on-Thames BUASD,Medium,South East,Least Deprived Working,0.706,74
Pudsey BUASD,Medium,Yorkshire and The Humber,Mid Deprived Mixed,0.674,58
Grayshott BUASD,Small,South East,Least Deprived Working,0.911,91
Pontefract BUASD,Medium,Yorkshire and The Humber,Most Deprived Residential,0.537,22
Stretford BUASD,Medium,North West,Most Deprived Mixed,0.56,22
Teignmouth BUASD,Small,South West,Most Deprived Residential,0.448,28
Crewe BUASD,Medium,North West,Most Deprived Working,0.712,29
Gravesend BUASD,Medium,South East,Most Deprived Residential,0.471,25
Frimley BUASD,Small,South East,Least Deprived Working,1.706,92
Wraysbury BUASD,Small,South East,Least Deprived Mixed,0.622,94
Newton Abbot BUASD,Medium,South West,Most Deprived Working,0.919,34
Morecambe BUASD,Medium,North West,Most Deprived Working,0.743,10
Sileby BUASD,Small,East Midlands,Mid Deprived Residential,0.402,56
Cleveleys BUASD,Small,North West,Most Deprived Mixed,0.255,29
Paulton BUASD,Small,South West,Least Deprived Residential,0.391,70
Stakeford BUASD,Small,North East,Most Deprived Working,0.279,23
Yateley BUASD,Small,South East,Least Deprived Residential,0.487,94
Stonehouse BUASD,Small,South West,Mid Deprived Working,1.928,50
Armthorpe BUASD,Small,Yorkshire and The Humber,Most Deprived Mixed,0.618,38
Stainforth BUASD,Small,Yorkshire and The Humber,Most Deprived Residential,0.199,0
