AREANM,AREACD,time1998,time1999,time2000,time2001,time2002,time2003,time2004,time2005,time2006,time2007,time2008,time2009,time2010,time2011,time2012,time2013,time2014,time2015,time2016,time2017
Rossendale,E07000125,59.7,44.9,56.5,46.9,38.8,38.6,43.9,47.2,39.9,42.6,44.7,38.4,46.8,37.6,28.7,26.2,33.5,22.1,21.8,28.8
South Ribble,E07000126,29.8,28,35.8,33.9,33.4,33.8,26.4,35.2,35.5,35.5,39.8,40.4,37,34.8,28.6,18.4,24.9,18.7,17.5,25.3
West Lancashire,E07000127,41.6,36.1,40.3,38.2,35.4,35.6,37.4,38.2,39.3,39,27.2,35.7,30.7,31.5,20.4,21.7,17.2,28.4,23.7,19.5
Wyre,E07000128,37.4,46.3,46.1,35,37,34.5,36.5,27.9,32.2,35,40.4,43.3,30.2,35.6,25.7,28.4,27.6,23.1,17.3,17.8
Blaby,E07000129,35.9,26.2,23.3,31.3,28,23.8,28,31.7,27,29.9,33.2,31.5,18.6,28.3,16.1,25,18.8,15.9,12.5,15.6
Charnwood,E07000130,40.1,32,32.1,32.6,27,33.7,37.1,39.7,34.3,31.1,31.8,29.9,29.3,27.1,23.4,23.3,14.3,17.2,13.9,14.3
Harborough,E07000131,23.1,20.9,26.4,20.5,16.8,17.4,22.1,16.9,19.7,25.3,17.9,17.4,15.6,13.8,24.3,17.6,16.1,13.7,7.4,6.8
Hinckley and Bosworth,E07000132,45.4,43.2,31.3,25.9,25.6,30.4,28,33.3,30.8,46.2,42,26.1,26.6,29.6,21.3,23.1,24.8,14.9,13.2,10.3
Melton,E07000133,36.4,25.4,32.7,28.9,29.4,26.4,32.9,25.1,33,27.4,36.7,25.2,28.5,19.7,22.3,14.8,23,12.2,12.9,4.7
North West Leicestershire,E07000134,43,32.2,31.1,38,34.6,35.3,38.3,30.2,34.5,43.3,41.6,28.2,31.9,21.8,26.5,20.8,21,21,17.6,17.5
Oadby and Wigston,E07000135,37.6,23.4,26.8,21.9,19.7,23.6,25.4,37.2,32.5,35.6,33.9,27.7,27.4,36.4,15.2,14.8,13.9,17.3,22,11.4
Boston,E07000136,63.9,63.9,52.7,43.8,48.6,61.7,52.1,37.4,53.6,53.6,50.8,46.1,37.3,35.6,34.5,30.8,33.8,28.8,29.8,19.7
East Lindsey,E07000137,57.8,45.8,41.8,45.7,40.4,36.9,40.2,43,39.3,45.5,46.7,42.5,39.6,41.4,36.9,32.4,23.5,27.6,28.7,25.2
Lincoln,E07000138,76.6,55.2,74,66.2,64.6,65.4,57,67.3,63,78.7,59.8,60.7,49.6,43.4,40.2,36.7,36.1,24,26.7,26.8
North Kesteven,E07000139,33.4,26.1,27.7,33.4,26.7,28.4,28.1,23.3,23.6,31.3,28.9,26.2,24.8,24.4,25.6,16.2,11.1,13.1,11.8,9.1
South Holland,E07000140,38.2,27.4,44.2,52.5,41.1,40.8,34.3,31.3,29.9,27.9,34.9,26.8,29.7,32.4,27.7,26.8,19.5,20.4,16.7,20.4
South Kesteven,E07000141,44.9,38.8,29.1,32.9,24.3,32.9,32.3,21.7,28.7,32,30.1,29.3,31.4,27.5,28,20.8,22.8,11.9,17.8,14.4
West Lindsey,E07000142,37.6,29.2,25.8,25.7,35.5,33.4,38.6,28.5,31.1,30.2,38,34.8,28.1,25.4,23.7,31.1,17.9,11.5,16.9,15.7
Breckland,E07000143,34.1,33.3,27,29.5,25,33.6,29.5,36.6,34,37.2,32,25.6,32.6,19.6,20.5,19.4,20.4,19.1,19.1,17.9
Broadland,E07000144,18.7,18.8,20.7,21.4,19.9,19.4,23.1,26.6,17.7,21.8,21.7,20.9,20.9,16.2,10.9,15.5,12.4,14.6,14.6,11.9
Great Yarmouth,E07000145,62.4,57.2,60.6,48.3,65.4,56.4,57.2,55.2,62.9,68.6,38.2,67.9,51.3,39.8,35.6,26.5,28.2,28.5,29,23.3
King's Lynn and West Norfolk,E07000146,37.2,44.8,47.9,43.7,40.3,42.6,35,34.6,43.4,43.5,34.8,40.4,30.6,33.3,30,28.9,17.9,26.9,26.7,23.5
North Norfolk,E07000147,33.9,42,28.4,31.4,30.5,35.5,35.2,31.1,35.1,37.6,34.9,30,27.1,29.3,16.6,19.1,15.6,15.9,16.2,19.4
Norwich,E07000148,53.7,63,56,59.2,44.3,57.4,56.2,84.8,77.1,57.9,53.6,48.4,53.8,48.1,39.9,31.7,38.4,32.9,27.3,31.3
South Norfolk,E07000149,21.2,20.9,18.7,26.5,25.5,16.9,19.1,18.7,16.3,21.7,24.8,25.6,22.9,18.5,16.7,16,14.3,14.4,15.5,7.4
Corby,E07000150,79.7,80.6,69.1,56.1,58.6,50.7,66.9,55.7,55.2,45.1,58,52.6,60.1,57.9,47.3,38.1,30.9,28.5,23.8,23.8
Daventry,E07000151,30.6,25.1,22.9,25.6,35.6,33.5,32.5,32.4,29.6,29.6,30.2,33.8,26.6,26.5,26.5,14.3,12.9,17.5,21.6,15
East Northamptonshire,E07000152,35.1,35.1,45.5,30.4,38.2,31.6,27.7,30.1,26.9,33.4,32.4,35,22,26.2,26.9,19.4,17.9,11.8,18.4,17.2
Kettering,E07000153,37.7,40.5,38.5,44,50.5,52.7,37.2,37.1,33.6,38.8,38.3,44,36.7,32.9,30.3,23.4,24.8,27.9,17.2,19.5
Northampton,E07000154,53.9,55.4,51.6,52.1,53.1,42.6,56.1,56.4,53.9,52.6,52,43.6,42.3,36.4,36,25,28.8,25.2,25.9,21.4
South Northamptonshire,E07000155,24.2,21.6,22,26.6,19.9,17.2,22.7,17.5,16.2,14.4,16.9,21.7,17.4,16,12.1,17.8,10.8,10.9,11.6,12.5
Wellingborough,E07000156,54.8,54.1,60.5,51.3,54.5,55.9,49.1,51.1,50.9,49.4,46.2,54.6,45.1,42,33.7,28.9,31.5,28.1,22.8,22.8
Craven,E07000163,18.1,30.4,23.8,24.7,23.6,22.5,23.6,17.6,13,16.8,28.1,22.5,25.5,17.1,24.2,9.5,9.7,22.3,8.5,4.5
Hambleton,E07000164,39.5,27.5,28.8,22.7,30.9,31.1,25.3,32.5,23.1,23.3,30,24.7,17.7,22.5,19.3,20.5,17.6,11.2,12.3,7.9
Harrogate,E07000165,26.8,29.3,21.7,24.7,21.2,24.3,20.1,22.2,22.7,26.1,19.3,18.6,17.1,14.8,16.1,13.8,10.4,8.5,5.5,5.8
Richmondshire,E07000166,35.8,34.7,21.2,38.6,40.6,29.8,20.4,22.8,23.6,31.5,29.3,29.4,19.4,16.3,27.4,17.3,15.8,22.1,16.6,6.6
Ryedale,E07000167,25.4,42.9,29.6,28.1,19.5,13.6,18.8,12.8,23.4,22.4,25.6,24,16.5,18.6,12.8,9.6,19.5,8.6,5.6,10.8
Scarborough,E07000168,61.3,54,52.4,52.8,44.8,49.8,44.8,42.8,36.7,45.2,48.8,42.5,35.1,30.9,28.7,26.4,25,20.5,26.1,23.7
Selby,E07000169,40.2,28.8,27.9,28,31.3,21.4,19.5,28.4,29.6,31.7,31.4,25.4,17.2,18.8,25.4,19,22.1,14.2,13.2,10.4
Ashfield,E07000170,73,53.3,50.7,55.3,54,52.8,43.2,49.6,40.3,36.6,46.2,49.3,39.9,44.1,37,28,25.5,29.7,19,19
Bassetlaw,E07000171,45,49.1,43.8,39.5,44.4,42.3,35,40.3,42.9,44.8,46.3,31.7,32.9,29.8,25.8,26,24.7,19.9,18.1,17
Broxtowe,E07000172,38.6,32.1,35.1,29.3,23.5,29.3,30.1,37,35,33.6,39.4,25.5,27.6,25.7,19.3,15.1,18.9,15.9,19.7,10
Gedling,E07000173,51.1,47.2,44.7,36.2,30.8,25.4,34.6,23.5,32.2,30.7,42.3,34.5,33.5,27.3,27.8,23.5,20.5,18.8,19.6,19.7
Mansfield,E07000174,56.5,47.1,53.2,39.1,50.2,63,57.3,48,47.4,50.7,45.1,44.9,38.6,44.5,41.3,35.9,24.9,27,24,17.6
Newark and Sherwood,E07000175,42.6,37.6,30.8,37.7,36.6,33.3,33.8,33.6,41.6,30,38.2,35.8,32.8,30.8,34.5,27.9,18.4,23,16.9,19.9
Rushcliffe,E07000176,16.5,17.2,19.8,15.8,15.7,21.4,20,21.2,20.5,21.1,20,13.1,18.1,19.5,18.8,12.4,14.1,6.3,11.8,10.2
Cherwell,E07000177,31.7,35,32.9,37.8,38.2,34.7,42.5,40.8,32.8,30.1,33.7,26.6,18.5,27.1,24,18,20.6,13.9,12.9,9.5
Oxford,E07000178,43.6,42,36.7,55.8,65.3,54.8,48.8,57.9,50.6,42.2,44.5,38.6,30.6,24.8,26.5,20.4,23.7,17.4,11.5,14.4
South Oxfordshire,E07000179,20.6,26.6,20.7,25.5,26.2,21.7,24.2,20.1,19.7,29.1,22.8,26.8,20,17.4,16,13.7,10.8,12.2,10.2,13.5
Vale of White Horse,E07000180,26.8,25,30.5,26.1,25.3,27.2,27.4,26.1,22,31.2,30,19.6,20.8,23.9,13.7,12.9,18,9.3,12.5,8.5
West Oxfordshire,E07000181,32.9,38.4,27.3,26.3,22.6,35,27.1,29.9,21,23.8,22.6,20.5,21.2,17.8,23,17.6,9.2,13,10.8,9.5
Mendip,E07000187,28.6,28.8,32.9,20.5,24.5,27,25.1,27.5,27.2,38,30.3,28.4,28.3,21.8,28.1,19.5,11.4,14.4,18.1,10.8
Sedgemoor,E07000188,46.9,49.9,46.9,38.7,42.5,32.3,32.2,32.5,35.9,35.8,37.4,31.6,30.3,32.9,24.6,22.4,23.4,22.3,18.9,16.3
South Somerset,E07000189,42,31.3,33.7,33.7,30.4,31.6,31,28.7,36.3,37.4,35.2,31.7,33,27.2,25.4,28.3,17.5,15.3,15.6,17.1
Taunton Deane,E07000190,37.6,45.8,36.9,35.7,38.7,36.7,42.8,37,33.7,34.5,35.2,32.8,27.2,27.1,20.1,16.8,17.1,18.1,17.1,13.2
West Somerset,E07000191,40.4,40.3,28.7,31.5,43.3,25.9,14.1,30.6,27.8,32.5,28.4,19.9,20.3,40.2,20.2,18.8,16.3,12.8,19.7,24.8
Cannock Chase,E07000192,52.3,54.9,58.4,45.8,55.2,50.6,43.1,48.1,46.2,50.9,57.9,57,47.3,40,31.6,37.4,27.1,23.3,24.3,23.1
East Staffordshire,E07000193,45.6,42.7,51.4,41.8,41.3,41.6,31.3,39.2,39.4,45.8,41.8,39,35.8,33.7,24.4,28.8,26.7,26.4,17.3,19.1
Lichfield,E07000194,35.2,31.1,32.9,33.4,33,31.6,33.7,34.5,36.8,32.1,36.6,35.3,30.6,29.8,33.5,31.5,24.4,11.2,16.8,18.5
Newcastle-under-Lyme,E07000195,51.3,37.2,41.4,42.3,38.7,47.4,37,39.2,43.3,45.9,53.1,43.1,31.7,27.6,29.9,29.5,31.1,34.8,34.4,23.8
South Staffordshire,E07000196,33.1,31.2,30,23.1,27.3,31.1,31.2,35.4,26.8,32.8,21.9,30.5,24.8,25.2,15.2,17.6,15.7,14.5,18.5,12.1
Stafford,E07000197,35.6,30.8,26.6,33.4,33.4,33,31.3,33.7,48,36.9,29.4,27.7,34.3,25.8,26.1,26.6,24.4,15.8,19.3,13.6
Staffordshire Moorlands,E07000198,37.5,31.1,31.6,26.5,22,32.3,21.1,31.5,29,40.5,28.7,29.7,30.1,23.9,32.1,21.1,15.2,21.5,18.1,18.3
Tamworth,E07000199,55.7,47.8,42.8,47.2,64,43,50.4,47.6,52.4,48.1,45.4,53.4,62,40.1,44,43.9,41.9,32.7,33.3,21.6
Babergh,E07000200,28.8,33.1,28.1,21,26.7,24.7,23.2,20.7,23.1,26.8,21.1,17.7,16.3,22.1,18.9,15.4,10.8,9,11.6,8.9
Forest Heath,E07000201,28,25.8,21.4,31.6,22.3,29.6,29.1,26.8,23.2,26.8,22.1,24.5,21.9,24.4,22.8,20.9,9.7,10.7,2.3,16
Ipswich,E07000202,60.4,56,45.1,44.5,47.3,44.4,51.5,45.5,40.3,44.4,41.4,35.4,34.5,33.9,38.7,29.2,26.5,28,31.2,29
Mid Suffolk,E07000203,17.9,25.2,19.2,22.3,26.1,33.4,19.7,18.8,18.3,24.7,18.6,19.9,24.1,15.5,19.1,16.3,13.8,11.7,12.6,11.6
St Edmundsbury,E07000204,45.2,30.7,29.2,25,22,25.5,28.6,30.6,25.3,24,27.5,29.4,24.1,26.9,23.9,19.2,16.5,11.6,16.8,17.7
Suffolk Coastal,E07000205,29.8,27.3,18.4,21.2,18.3,23.6,27.7,23.9,22,19.8,19.8,20.4,16,17.2,13.1,12.7,14.4,12.9,10.6,10.3
Waveney,E07000206,42.9,42.7,43.5,35,56.2,38.5,37.9,39.6,48.6,43.6,50,43.4,41.1,39.2,34.1,23.2,24.2,19.8,17.6,18.2
Elmbridge,E07000207,20,30.8,27.9,25.9,31,22.6,23.9,21.7,27.1,29.1,18.3,21,16.7,16.7,17.5,13.1,12.7,9.8,9.3,9.7
Epsom and Ewell,E07000208,37.3,22.3,29.6,23.3,19,11.5,20,24.9,20,25.5,15.8,17,14,16.9,23.3,12.3,12.7,11.5,9.9,4.7
Guildford,E07000209,30.3,23.8,20.3,25.9,27.4,30,25,26.5,26.2,29.2,19,23.2,22.6,21.9,15.3,17.3,16.1,11.7,10.1,8.4
Mole Valley,E07000210,35.5,19.7,16.8,22.9,27.9,24.2,18.9,16.1,20.9,18.9,17.1,18.2,24.5,23.3,8.8,7.6,16.5,10.3,10,9.6
Reigate and Banstead,E07000211,26.8,29.7,26.3,29.6,26.4,32.5,22.5,26.5,29.4,29.1,29.1,25.2,21.3,27.3,19.8,17.5,12.4,9.7,15.2,8.1
Runnymede,E07000212,35.9,49.7,45.1,37.4,30,34.8,28.9,38.7,29.6,23.8,29.5,28.2,35.6,34.6,24.1,24.2,19.8,20.4,15.6,15.7
Spelthorne,E07000213,39.7,33.1,35.5,33.7,33.6,38.3,34.5,43.4,35.7,36.8,35.1,32.9,33.3,40.3,34.3,29.6,20.3,14.2,13.1,18.3
Surrey Heath,E07000214,22,21.1,22,22.4,23.2,34,21.5,26,27.3,16.1,25,14.5,17,20.8,19.3,10.4,10.1,11,14.9,7.5
Tandridge,E07000215,19.8,18.2,26.8,30.8,15.8,27,19.6,24.1,23.2,19.8,19.5,15.8,13.3,18.6,17.4,19.1,15.9,12.7,12.3,12.9
Waverley,E07000216,20.8,18.7,17.1,18.8,12.7,15.6,13.8,17.8,18.4,14.4,19.8,14.6,13.6,9,9,9.5,10.2,8.2,6.7,9
Woking,E07000217,29.3,29,26.1,28.6,34.3,23.8,22.4,27.2,33.1,19.3,26,19,25.4,27.3,15.4,16.1,12.7,13.9,8.6,8.8
North Warwickshire,E07000218,44.6,53.8,39.7,34,32.8,49.2,41.6,36.6,30.5,29.4,44,46.3,49.8,29.5,29,26.5,24.4,29.6,15.7,18.6
Nuneaton and Bedworth,E07000219,48.8,54,51.5,59.4,44.4,53.7,48,49.9,55.1,41.7,41.9,50.2,49.4,43.2,38.4,29.6,43,25.5,29.8,22
Rugby,E07000220,43.1,46.9,48.1,37.2,35.1,39,32.6,38.1,33.7,39.9,33.6,34.1,28.2,24.3,20.7,22.5,18.4,18.7,16.7,21.8
Stratford-on-Avon,E07000221,31.3,28.9,31.2,26.1,20.3,25.3,26.6,22.9,20.3,25.6,22,21.3,23.5,25.4,16.2,18.8,14.2,11.5,12.1,11.1
Warwick,E07000222,40.1,32.7,35.1,33.8,37.8,32.4,37.5,36.7,30.9,35.5,34.2,27.4,26,29.6,17.1,19.7,12.9,16.2,16.4,14.2
Adur,E07000223,38.7,38.1,40.6,37.3,36.5,27.6,40,41.5,39.2,36,28.8,40,27.5,32,32.4,33.9,21.3,18.9,17,14.8
Arun,E07000224,46.1,36.9,42.6,43.2,30.1,32.9,30.7,35.2,34.1,34,47.1,29.5,39.8,32.5,24.1,25.1,25.4,24.3,12.2,18.9
Chichester,E07000225,31.5,23.2,25,25.2,16.9,23.2,26.8,31.8,20.1,29.9,33.4,23.2,23.3,28.2,24.7,14.1,15,10.6,10.8,10.5
Crawley,E07000226,56,47,53.1,39.4,49.6,40.8,42,38.4,39.3,39.6,50.5,42.1,39.8,31,30.1,26.1,25,21.8,23.5,22.8
Horsham,E07000227,29.5,15,18.4,21.8,21.9,19.5,19.1,19.3,22.6,17,23.1,20.1,16.3,13.2,13.3,9,12.4,10.8,5.8,6.9
Mid Sussex,E07000228,19.8,24.9,14.3,27.1,23.7,19.8,19.9,25.4,18.5,20.2,25.9,24.7,17.4,12.9,14.9,13.1,14,7.9,6.1,7.2
Worthing,E07000229,45.6,45.1,51.6,37.7,43.3,47.6,36.3,35.6,33.4,40.8,37.3,35.5,28,33.3,29.3,22.9,18.5,24.7,17.5,19.1
Bromsgrove,E07000234,28.1,24.3,27.6,22.1,31,28.1,22.2,20.1,27.4,24.3,26.8,21.5,20.8,31,19,17.7,14.7,10.3,13.5,11.4
Malvern Hills,E07000235,16,29,30.5,22.2,26.3,31.6,22.3,25.3,26,27.2,22.5,20.7,21.7,14.5,22.1,19.2,10,8,7.5,5.3
Redditch,E07000236,41.6,45.6,43.4,44.5,40.2,36,40,36.9,43.3,35.4,31.9,39,31.5,36.2,34.5,28.7,34,25.7,16.8,15.9
Worcester,E07000237,50.6,49.7,49.7,43.5,51.2,50.7,45,44,45.5,40.6,35.6,41.6,40.1,43.2,43.1,34,27.3,21.8,21.1,15.7
Wychavon,E07000238,31.8,25.5,24.9,25,29.3,29.3,29.4,21.9,29.9,25.9,28.8,33.3,23.9,30.1,21.6,22,18.8,13.1,16.4,13.1
Wyre Forest,E07000239,40.9,46.1,42,43.4,43.4,38.4,39.4,39.6,38.9,40.7,36.5,40.8,28.8,22.5,25.3,29.1,16.2,19.3,20.6,18.2
Bolton,E08000001,50.3,54.8,55.2,48.5,53.3,49.6,52.7,51.9,47.8,46.1,49.1,46.3,36.8,39.6,30.3,27.7,23.8,24.8,19.6,21.7
Bury,E08000002,55.6,45.1,42.9,44.2,41,43.8,49,49.4,50.2,44.4,46.3,37.2,40.9,32.9,32.6,26.6,23.7,23.8,18.6,17
Manchester,E08000003,61.3,59.9,65.9,69,61.9,67.9,68.3,73.9,67.7,68.5,61.7,59.2,50.4,52.5,45,36.4,32.3,28.7,25.9,23.5
Oldham,E08000004,66.1,57,53,59.3,55.3,54.3,58.7,46.9,43.7,45.8,39.9,41.3,39.8,36.5,33.1,30.6,34.6,22,26.9,25.7
Rochdale,E08000005,61.9,54.4,56.3,50.4,47.1,51.3,52.8,49.1,47.6,46.4,52.7,45,35.3,31.7,35,26.1,30.8,22,21.2,22.9
Salford,E08000006,61.5,62.1,53.5,56.7,53.8,60.7,61,66.8,63.5,65,59.1,52.4,54,41.9,37.8,30.4,31.3,32,31.5,30.7
Stockport,E08000007,43.2,43.2,32.3,36.2,35.9,38.9,37,33.1,40.7,38.3,35.7,36.9,32.6,28.4,26.9,26.1,22.2,20.8,17.8,16.1
Tameside,E08000008,53.6,50.3,53.6,52.2,52.3,56.4,53.9,60,55,55.3,59.8,58.4,46.1,45.2,32.8,29.2,25.5,25.2,26,22.7
Trafford,E08000009,34,39.6,33.2,36.2,32.6,37,32.1,36.1,30,36.8,32.8,28,26.7,24.2,20.2,15.6,16,14.2,9.9,8.6
Wigan,E08000010,53.6,59.1,54.9,51.4,53.9,51.8,50.9,57.6,51.7,52.7,49,49.6,46.9,34.7,32.1,27.4,31.8,24.8,23.1,23
Knowsley,E08000011,54.8,46.9,48.6,46.5,48.7,39.2,50.4,44.6,41.1,53.5,43.9,42.2,39.9,36.4,39.3,32.1,32.8,31.8,26.7,27.6
Liverpool,E08000012,57.9,55,50.3,45.8,44.5,43.8,45.2,47.7,41.1,47.3,46.3,43.3,38.2,39.6,35.6,34,32.4,32,27.6,28.1
St. Helens,E08000013,55.5,63.7,50.7,51.2,47.1,53,47.5,47,42.9,50.2,59.6,47.4,53.9,45.4,38.1,34.2,36.2,29.6,22.6,37.1
Sefton,E08000014,33.5,37.3,39.4,33.1,38.3,32.3,32.2,35.3,33.3,39.6,31.9,31,30.2,30.3,28,26.2,21.1,21,20.9,17.4
Wirral,E08000015,50.6,44.5,47.5,48.6,45.8,42,44.2,45.3,46.8,46.1,38.6,42.5,45.5,34.6,33.5,33.7,30.8,25.7,26.2,20.5
Barnsley,E08000016,60.2,57.4,52.1,51.8,52.1,57.7,50.7,53.7,49.4,50.4,52.1,52.8,54.5,44.1,41.2,40.8,36.3,33.7,33.8,29.1
Doncaster,E08000017,73.7,65.9,69.3,60,63.3,67.3,61.5,58.2,53,56.5,64.3,48.7,53.3,35.2,38.2,34.7,34.6,31.7,27.6,24.7
Rotherham,E08000018,56.6,58,50.9,53.4,48.2,51.2,51,49.1,53.5,49.8,54.7,45.6,44.2,40.9,30,24.2,28.8,25.5,24,22.1
Sheffield,E08000019,50.5,53.4,50.1,52.6,56.6,53.8,55.7,53,50.3,49,42.7,39,38.7,35.2,30.3,27.9,27.9,23.6,21.2,18
Gateshead,E08000037,57.1,50.7,56.8,42.3,43.8,47.2,43.1,43.1,47.2,47.9,46.9,40,47,29.4,30.1,29.3,34.6,27.7,20.6,23.1
Newcastle upon Tyne,E08000021,52.8,60.3,57.9,58.2,62.5,60.4,66.3,63.1,60.4,61.5,49.9,46.3,44.7,42.9,33.2,26.8,34.7,26.2,20.8,23.9
North Tyneside,E08000022,58.4,49.9,54.4,53.2,55,51.6,50.7,47.8,49.6,53,47.8,41.5,35.1,32.4,33.8,23,22.3,25,15.4,18.3
South Tyneside,E08000023,64.9,56.8,57.3,53.6,52,55.7,53.5,49.4,41.5,56.2,50.4,56.9,38.5,42.5,31.1,28.9,31,25,24,17.8
Sunderland,E08000024,63.1,63.6,51,51.5,55.5,63.7,52.1,56.3,55.4,59.1,52.3,53.4,52.3,42.9,43,35.3,34.8,34.6,31.9,25.7
Birmingham,E08000025,58.3,56,56.6,53.6,49.7,54.4,52.3,52,54.6,52.9,47.6,45.1,39.6,34.3,30,25.8,24.3,25.3,21.4,19.4
Coventry,E08000026,60.5,54.3,64.9,57.8,66.3,64.3,59,62,63.9,66.2,68.1,60.9,49.6,48.9,38.6,39.4,33.9,29.9,26.6,26.1
Dudley,E08000027,54.7,56.8,50.2,50.3,49.7,47.4,47,45.7,47.2,47.6,42.3,39.9,39,35.6,34.6,30.8,29.5,24.3,20.2,20.4
Sandwell,E08000028,69.1,65.6,62.7,64,61.7,64.8,55.7,61.2,61.4,56.9,55,51.1,53,46.1,38.5,36.7,38.4,31.6,27.4,28.2
Solihull,E08000029,40.3,33.9,32.1,30.9,34.5,31.5,43.1,35.6,32.6,40.3,34.8,28.3,22.1,26.2,23.8,22.1,16.6,19,14.6,14.9
Walsall,E08000030,67.2,66.6,61.5,57.5,63.7,58.6,47.2,55.3,50.5,51.4,52.5,56.2,49.1,48.5,47,37,37.7,31.6,30,27.2
Wolverhampton,E08000031,66.3,57.7,63.3,63.3,60.9,56.8,60.8,61.5,58.8,61.1,48.6,48.5,56.8,43.9,42.1,31.6,29.6,31.8,25.8,28.1
Bradford,E08000032,57.2,50.6,48.9,47.4,46.4,45.1,44,51.6,45.4,48.5,46.3,41.2,34.6,28.4,30.3,28,27.2,22.4,20,19.1
Calderdale,E08000033,53.4,50.5,43.6,51.2,37.4,50.2,43.1,42.5,45.9,37.1,41.4,45.9,40.6,33.6,34,28.9,24.5,24.7,19.6,17.4
Kirklees,E08000034,48.6,46.6,43.6,41.2,46,42,44.1,43.9,43.9,44.9,46.2,46.6,40.5,32.3,30.2,29.4,21.7,25.1,22.6,18.9
Leeds,E08000035,50.4,49.8,49.8,46.8,49.1,43.7,52,57.5,61.1,56.2,54.5,48.1,43.9,38.1,37.6,31.7,29.4,27.3,28,27.3
Wakefield,E08000036,56.5,56.9,48.7,47.1,45,48,51.7,51.1,53.6,56.4,49.7,49,39.4,38,33.7,30.5,23.4,20.2,20.1,22.5
City of London,E09000001,77.1,79.8,79.5,77.2,73.1,64.9,63.3,51.5,50.1,50.1,52.6,40.2,41.7,30.7,28.8,24.2,24.9,22.8,22.3,19.4
Barking and Dagenham,E09000002,54.6,61.2,67.5,63.6,74.4,72.9,73.5,65.9,61.3,61.2,55,53.1,51.1,46.3,35.3,40,32.4,30.9,27.9,25.1
Barnet,E09000003,24.2,28.9,27.9,25.4,33.2,29.7,33.3,27,27.3,27.3,24.9,22.6,21,13.8,14.7,10.3,12.8,11.5,10.2,11.2
Bexley,E09000004,37.2,42.7,34.7,43.9,40.2,41.2,38,34.9,35.1,35.4,42.6,35.2,28.4,28.4,25.7,23.2,19.5,15.8,15.5,17.1
Brent,E09000005,47.8,50.8,53.7,47.1,51.2,54.7,52.8,43.9,37.3,38.7,33.6,30.4,26.6,22.5,19.6,18.1,18.5,17.4,13.5,13.8
Bromley,E09000006,32.1,33.8,35.1,33.5,35.4,39.2,30.9,35.8,30.2,32.7,36.8,36,24.9,26.3,24.2,19.5,16.7,15,12.9,15
Camden,E09000007,49.3,49.7,48.3,45.6,53.4,49.2,47.7,46.9,40.1,38.5,36.9,27.7,29.6,18.9,18.1,17,16.7,13.4,11.3,10.4
Croydon,E09000008,59.1,58.2,56.9,54.3,57.7,51.2,53.4,52.8,52.9,50.5,50.6,41.3,36.8,32.8,28.6,32.4,28.3,24,25,20
Ealing,E09000009,44.3,38.5,40.3,37.7,34.7,36.8,34.9,33.9,31.7,29,31.9,31,22.8,25.7,22.5,15.4,17.8,14.1,11.3,13.3
Enfield,E09000010,46.4,43,42.6,47.7,55.2,56.3,49.7,44.1,50.5,43.1,38,34,29.6,25.8,26.4,22.9,24.6,22.7,20.6,22.5
Greenwich,E09000011,62.6,71.8,56.1,67.8,62.3,68.7,62.9,62,52.7,58.3,55.3,46,44.7,38.1,34.6,24.4,27.9,29.2,20.9,24.7
Hackney,E09000012,77.1,79.8,79.5,77.2,73.1,64.9,63.3,51.5,50.1,50.1,52.6,40.2,41.7,30.7,28.8,24.2,24.9,22.8,22.3,19.4
Hammersmith and Fulham,E09000013,69,76.5,59.8,61.3,60.9,50.4,43.8,38.9,41.8,46.8,39.6,46.6,40.7,32.8,25.3,20.9,22,18,11.8,15.2
Haringey,E09000014,62.3,64.3,74.1,73.2,79.4,70.7,68.4,60.8,59.6,63.5,45.5,41.2,49.2,36.2,33,20.9,22.6,21.2,19.2,20.2
Harrow,E09000015,27.1,27.8,21.6,24.5,27.8,26,32,28.2,23.8,23.5,20.9,19.1,19.2,16.5,14.3,14.3,11,13.1,11.9,11.4
Havering,E09000016,40.7,36.1,38.1,32.7,36.7,35.8,34.5,32.5,37,33.1,40,35.8,33,28,26.4,26.2,22.8,22.3,24.3,21
Hillingdon,E09000017,43.9,42.6,42,43.3,47.7,49.6,48.1,47.3,45.1,46.8,39.1,32.4,32,27.9,27.8,23,20.5,18.4,15.5,14.8
Hounslow,E09000018,49.6,51.7,42.9,42.2,40.3,45.6,51.2,41.4,41.9,43,42.2,32.9,32.9,30,30.4,28.4,25,20.1,18.6,13.3
Islington,E09000019,58.3,58.4,62.4,64.6,64.6,60.8,57.8,60.1,55.9,47.4,49.5,43,40.3,34.4,30.1,20.5,20.1,21.3,18.7,19.6
Kensington and Chelsea,E09000020,41.7,39.3,49.7,46.6,44.7,28,25.4,30.5,31.9,28.7,24.9,21.9,17.7,24.7,17.6,18.7,14.1,10.5,11.3,8.4
Kingston upon Thames,E09000021,30.9,28.3,32.6,28.4,28.4,32.6,26.4,27,22.6,23.4,26.8,25.4,25.8,22.1,19.9,15.9,15.3,14.2,8.8,8.6
Lambeth,E09000022,85.3,85.7,87.5,92,97.8,96,79.2,77.1,71.8,68.4,65.8,54.1,49.3,34.8,33.3,24.7,33.6,28.8,23,24
Lewisham,E09000023,80,75.4,67.3,65.4,75,73,68.3,67.7,62.8,64.1,59.9,48.5,41.8,39.9,42,33.1,31.4,23.4,21.9,20.8
